# time  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16  chi_mean_R24  chi_min_R24  chi_max_R24  lapse_mean_R24  lapse_min_R24  lapse_max_R24  K_mean_R24  K_min_R24  K_max_R24  chi_mean_R32  chi_min_R32  chi_max_R32  lapse_mean_R32  lapse_min_R32  lapse_max_R32  K_mean_R32  K_min_R32  K_max_R32  chi_mean_R40  chi_min_R40  chi_max_R40  lapse_mean_R40  lapse_min_R40  lapse_max_R40  K_mean_R40  K_min_R40  K_max_R40
0.0000000000000000e+00  9.9004878968949228e-01  9.8879375535448177e-01  9.9058214972293057e-01  9.9207827784300806e-01  9.9134228323063056e-01  9.9239925471006252e-01  2.1546444111784593e-05  2.4069050181424468e-06  1.6328443185542889e-04  9.9404517624896283e-01  9.9358469358257839e-01  9.9426850285868884e-01  9.9469714274280563e-01  9.9446601953534874e-01  9.9481774911661258e-01  1.7618254173591151e-08  2.3294213357977796e-09  1.1991141452666512e-07  9.9621500896022230e-01  9.9602116218989045e-01  9.9633406684614501e-01  9.9601599822358011e-01  9.9591114507779088e-01  9.9607361911991377e-01  1.6724985819122012e-11  2.4171565917435394e-12  1.0615933732188208e-10  9.9755085204773342e-01  9.9743560724046854e-01  9.9766101865057988e-01  9.9680883103958084e-01  9.9675186704280794e-01  9.9684612584833365e-01  1.6996853437903370e-14  2.5511585472704814e-15  1.0275825307141998e-13
4.0000000000000002e-01  9.9005728296482931e-01  9.8884497039658392e-01  9.9058443117858630e-01  9.9205283479903283e-01  9.9118918548958901e-01  9.9239240057981615e-01  4.3502546319414828e-05  -6.0756293873589552e-05  2.3847608621098168e-04  9.9404541473307040e-01  9.9358510111632914e-01  9.9426869186321309e-01  9.9469642846013684e-01  9.9446480377719448e-01  9.9481718249206530e-01  1.7925366606366581e-06  1.4306349125738061e-06  2.9726068049903283e-06  9.9621505177366354e-01  9.9602122001880755e-01  9.9633410614074447e-01  9.9601587029300154e-01  9.9591097290949926e-01  9.9607350610687151e-01  3.2369905459145984e-07  2.8103477211562817e-07  4.3616479620041561e-07  9.9755086359435929e-01  9.9743561939942005e-01  9.9766103016144425e-01  9.9680879658506760e-01  9.9675182405174223e-01  9.9684609523535717e-01  8.7114488392284005e-08  7.7048652001185170e-08  1.1229529745157430e-07
8.0000000000000004e-01  9.9007293113551165e-01  9.8892356235154377e-01  9.9059025994394523e-01  9.9200779213525014e-01  9.9096704514179301e-01  9.9237525839340390e-01  7.1141458303037165e-05  2.8442572457489916e-05  3.3775708480284557e-04  9.9404613396308328e-01  9.9358628856420284e-01  9.9426926694109063e-01  9.9469429827043998e-01  9.9446130440818692e-01  9.9481547863347231e-01  3.5816837378837532e-06  2.8689626937326378e-06  5.8782401145607938e-06  9.9621518193581982e-01  9.9602139481450358e-01  9.9633422559972507e-01  9.9601548483734526e-01  9.9591045640782638e-01  9.9607316589075290e-01  6.4700204490725414e-07  5.6203169867641402e-07  8.6865930963036989e-07  9.9755089863239244e-01  9.9743565662288614e-01  9.9766106498877083e-01  9.9680869286742779e-01  9.9675169362514437e-01  9.9684600370941590e-01  1.7383490515358478e-07  1.5314910111834274e-07  2.2155603447151796e-07
1.2000000000000000e+00  9.9009827958028152e-01  9.8904549431749134e-01  9.9060010417523825e-01  9.9193787976664305e-01  9.9063728819217090e-01  9.9234696716080761e-01  1.0669378962417641e-04  4.3216917964849412e-05  5.0877453880080099e-04  9.9404735501745489e-01  9.9358830889466598e-01  9.9427024292223432e-01  9.9469072891207322e-01  9.9445544473486780e-01  9.9481262073492815e-01  5.4152377988527855e-06  4.3325454186602391e-06  8.9127616069811999e-06  9.9621540153743215e-01  9.9602169023308085e-01  9.9633442668207617e-01  9.9601484094454351e-01  9.9590959271508084e-01  9.9607259827599715e-01  9.7290147793906159e-07  8.4559155626177000e-07  1.3078240681120911e-06  9.9755095754471435e-01  9.9743571929187658e-01  9.9766112388146855e-01  9.9680851996428665e-01  9.9675147646257078e-01  9.9684585116436042e-01  2.6071909980200725e-07  2.2990630972838537e-07  3.3172109484476767e-07
1.6000000000000001e+00  9.9013690957429923e-01  9.8923755000540936e-01  9.9061463657538240e-01  9.9183539004030308e-01  9.9015119518587691e-01  9.9230619969805467e-01  1.5425084614400760e-04  6.0033194845907678e-05  7.4732666063459725e-04  9.9404910894079568e-01  9.9359123784317960e-01  9.9427163813554709e-01  9.9468567232241978e-01  9.9444709385911945e-01  9.9480858288683027e-01  7.3260279902375867e-06  5.8398184001831660e-06  1.2149093399074163e-05  9.9621571345576898e-01  9.9602211084512726e-01  9.9633471188864053e-01  9.9601393534819516e-01  9.9590837571397262e-01  9.9607180046205535e-01  1.3044294997986093e-06  1.1337312308040459e-06  1.7555905396190306e-06  9.9755104080837675e-01  9.9743580802264442e-01  9.9766120668034319e-01  9.9680827755563783e-01  9.9675117194269658e-01  9.9684563741349330e-01  3.4824124791627993e-07  3.0701831809731238e-07  4.4315644557508717e-07
2.0000000000000000e+00  9.9019405946558214e-01  9.8951234898294282e-01  9.9063483828273835e-01  9.9168873374450761e-01  9.8942380097723115e-01  9.9225094135449188e-01  2.1971813479497270e-04  7.9960694176527757e-05  1.1149864470441243e-03  9.9405143757863534e-01  9.9359518015223536e-01  9.9427347932210619e-01  9.9467905298833570e-01  9.9443605292444071e-01  9.9480331968971436e-01  9.3505433842929721e-06  7.4174809665477367e-06  1.5690081331712744e-05  9.9621612138677507e-01  9.9602266226440206e-01  9.9633508396969472e-01  9.9601276234909031e-01  9.9590679643364344e-01  9.9607076732348654e-01  1.6446832551075144e-06  1.4287213927017827e-06  2.2174395732548883e-06  9.9755114900694097e-01  9.9743592354780752e-01  9.9766131378458289e-01  9.9680796493355306e-01  9.9675077888168684e-01  9.9684536161353998e-01  4.3691355252849343e-07  3.8563626193903046e-07  5.5594828628877447e-07
2.3999999999999901e+00  9.9027748436770424e-01  9.8978180649041603e-01  9.9066217075561969e-01  9.9148062876589660e-01  9.8838054208327220e-01  9.9217827972342731e-01  3.1202941126869522e-04  1.0435744399700549e-04  1.6942456964704306e-03  9.9405439502262372e-01  9.9360028019946767e-01  9.9427580080583766e-01  9.9467076426551415e-01  9.9442202981587968e-01  9.9479676547058782e-01  1.1531086564088983e-05  9.0898910298552783e-06  1.9665750396587064e-05  9.9621662989537174e-01  9.9602335152384447e-01  9.9633554627211907e-01  9.9601131372527341e-01  9.9590484191240591e-01  9.9606949307862558e-01  1.9969224909449461e-06  1.7336978705636391e-06  2.6977069687734286e-06  9.9755128285654959e-01  9.9743606684676278e-01  9.9766144607440943e-01  9.9680758096587141e-01  9.9675029618339062e-01  9.9684502269941544e-01  5.2728429851315937e-07  4.6544059487436173e-07  6.7092527706502143e-07
2.7999999999999798e+00  9.9039919026727441e-01  9.9005020238029817e-01  9.9072574147318915e-01  9.9118459289891536e-01  9.8672027327034717e-01  9.9208341125873589e-01  4.4593780994607422e-04  1.3528526419523797e-04  2.5253316950590225e-03  9.9405805008267112e-01  9.9360673003316302e-01  9.9427864380949338e-01  9.9466066258905217e-01  9.9440461746753261e-01  9.9478883510606519e-01  1.3918815603529585e-05  1.0882639630751110e-05  2.4241112865662492e-05  9.9621724450266347e-01  9.9602418716308760e-01  9.9633610343562773e-01  9.9600957855622130e-01  9.9590249522786101e-01  9.9606796902748973e-01  2.3646672764807207e-06  2.0512122520103756e-06  3.2025887235908067e-06  9.9755144321516065e-01  9.9743623895400224e-01  9.9766160415906446e-01  9.9680712408052241e-01  9.9674972179716803e-01  9.9684461949890235e-01  6.1990361414798594e-07  5.4717048087583873e-07  7.8841757950513865e-07
3.1999999999999802e+00  9.9057719114258025e-01  9.9028677997918069e-01  9.9180449822561689e-01  9.9076059864684729e-01  9.8426571723546463e-01  9.9196041000073487e-01  6.4089470076059184e-04  1.7687190289860405e-04  4.0342380768938939e-03  9.9406248991681201e-01  9.9361478863604169e-01  9.9428205845843221e-01  9.9464855904814065e-01  9.9438325165109698e-01  9.9477942045125578e-01  1.6577414677228571e-05  1.2828340891277454e-05  2.9648727191114784e-05  9.9621797177070415e-01  9.9602517989518413e-01  9.9633676056921094e-01  9.9600754302129202e-01  9.9589973398441856e-01  9.9606618372808620e-01  2.7516880852597131e-06  2.3845919140429536e-06  3.7388992483024078e-06  9.9755163108471645e-01  9.9743644105245999e-01  9.9766178873478839e-01  9.9680659226408341e-01  9.9674905308041162e-01  9.9684415008106209e-01  7.1533814523045135e-07  6.3173920163442496e-07  9.0967231817804718e-07
3.5999999999999699e+00  9.9083682742714474e-01  9.9044410079162948e-01  9.9363197049551444e-01  9.9015159432785904e-01  9.8035341347849358e-01  9.9180127297505150e-01  9.2291284705799809e-04  2.2223086795145555e-04  6.7325889006713746e-03  9.9406782519314363e-01  9.9362480489182881e-01  9.9428610587666288e-01  9.9463420745760667e-01  9.9435715677320191e-01  9.9476838548499702e-01  1.9588512255833661e-05  1.4964103117176750e-05  3.6196555152162735e-05  9.9621881941067447e-01  9.9602634220827535e-01  9.9633752350438187e-01  9.9600519014966804e-01  9.9589653065622130e-01  9.9606412383946297e-01  3.1621578469814361e-06  2.7371614700062854e-06  4.3132897132330291e-06  9.9755184763178861e-01  9.9743667462190266e-01  9.9766200067042166e-01  9.9680598302748336e-01  9.9674828672316884e-01  9.9684361206462324e-01  8.1421542905348837e-07  7.1936793939634991e-07  1.0353474250874638e-06
