NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.513238e+01        2.419025e+01        
2                   8.760300e+00        8.253964e+00        
3                   3.335621e+00        3.099377e+00        
4                   1.310202e+00        1.203607e+00        
5                   5.207898e-01        4.734682e-01        
6                   2.079854e-01        1.872233e-01        
7                   8.322664e-02        7.420134e-02        
