cell,stage,time,L2_Ham,L2_Mom,Linf_Ham,note
convA_pm_eqm_n128,evolution,30,2.416866e-03,1.471625e-04,5.514224e-02,
convA_pm_eqm_n128,evolution,45,4.030420e-03,2.466408e-04,1.800502e-01,
convA_pm_eqm_n128,evolution,60,7.083865e-03,8.213766e-04,8.952463e-01,
convA_pm_eqm_n192,evolution,0,1.818534e-03,5.665172e-06,3.102706e-02,
convA_pm_eqm_n192,evolution,15,1.038524e-03,1.153445e-04,1.860054e-02,
convA_pm_eqm_n192,evolution,30,2.422321e-03,1.472364e-04,5.531780e-02,
convA_pm_eqm_n192,evolution,45,4.044207e-03,2.479743e-04,1.827623e-01,
convA_pm_eqm_n192,evolution,60,7.002404e-03,7.918511e-04,9.114483e-01,
convA_pm_eqm_n256,evolution,0,2.408681e-03,5.692510e-06,3.032707e-02,
convA_pm_eqm_n256,evolution,15,1.039205e-03,1.152916e-04,1.859540e-02,
convA_pm_eqm_n256,evolution,30,2.423006e-03,1.471301e-04,5.536821e-02,
convA_pm_eqm_n256,evolution,45,4.046726e-03,2.481413e-04,1.834868e-01,
convA_pm_eqm_n256,evolution,60,7.011137e-03,7.952208e-04,9.230320e-01,
convA_pm_n128,evolution,0,9.853366e-04,3.333918e-06,1.019922e-02,
convA_pm_n128,evolution,15,1.061581e-03,1.195189e-04,1.872207e-02,
convA_pm_n128,evolution,30,2.470837e-03,1.507207e-04,5.496257e-02,
convA_pm_n128,evolution,45,4.048444e-03,2.416149e-04,1.709335e-01,
convA_pm_n128,evolution,60,6.984814e-03,7.712089e-04,8.333964e-01,
convA_pm_n192,evolution,0,2.137127e-03,5.982233e-06,2.320380e-02,
convA_pm_n192,evolution,15,1.065989e-03,1.195180e-04,1.878664e-02,
convA_pm_n192,evolution,30,2.476367e-03,1.507819e-04,5.535120e-02,
convA_pm_n192,evolution,45,4.062055e-03,2.428535e-04,1.743624e-01,
convA_pm_n192,evolution,60,6.898902e-03,7.432664e-04,8.252434e-01,
convA_pm_n256,evolution,0,2.850633e-03,7.175747e-06,4.839709e-02,
