cell,sectors,geometry,t_end,ham_pct,mom_pct,t0_total_canon,t0_rms_canon,t0_total_phantom,t0_rms_phantom,drift_canon,drift_phantom,sep_initial,sep_final,peak_t0,peak_end,min_chi_t0,min_chi_end
single_p,canonical,1 star at grid centre,40.0,0.003087646,0.01807895,15.923771991086788,5.045134153409358,0.0,,0.06066172718790597,,,,0.022597656726075097,0.023403233742741638,0.9893967797847075,0.8509910801222633
single_m,phantom,1 star at grid centre,40.0,0.0890496,0.05204582,0.0,,20.989341778206224,5.4268583569555435,,0.06483327037721409,,,0.030106977761921262,0.030617902229269633,1.0000000027957499,1.001085429627109
pair_pm,canonical + phantom,"x = +4 / -4, sep 8",60.01,0.08322664,0.07420134,15.888958793146218,5.045340150442191,21.027499218032673,5.426684084567007,3.3483582385269983,9.565672168491414,7.999479323911888,1.7821653939474729,0.04074923788091027,0.05482432172950329,0.9843275268344596,0.4406799340241592
pair_mp_mirror,phantom + canonical (mirror control),"x = +4 / -4, sep 8, sectors swapped",60.01,0.08322661,0.07420144,15.88658388140679,5.045419289780923,21.02500469887825,5.4267484448347165,-3.2329876694676436,-9.071485370719508,-8.00085571689256,-2.162358015640695,0.04071346001404409,0.05446539176505176,0.9843472991712702,0.43181331281370183
