cell,u,radius,r_psi4
pair_mp_mirror,40.0,16.0,4.831639e-02
pair_pm,5.0,8.0,2.045493e-03
pair_pm,5.0,16.0,3.660102e-03
pair_pm,10.0,8.0,5.664617e-03
pair_pm,10.0,16.0,6.378527e-03
pair_pm,15.0,8.0,1.223474e-02
pair_pm,15.0,16.0,1.036864e-02
pair_pm,20.0,8.0,2.276103e-02
pair_pm,20.0,16.0,1.534570e-02
pair_pm,25.0,8.0,3.889304e-02
pair_pm,25.0,16.0,2.163784e-02
pair_pm,30.0,8.0,6.202241e-02
pair_pm,30.0,16.0,2.901404e-02
pair_pm,35.0,8.0,9.286213e-02
pair_pm,35.0,16.0,3.737309e-02
pair_pm,40.0,8.0,1.313907e-01
pair_pm,40.0,16.0,4.658403e-02
pair_pm_eqm_v2,5.0,8.0,2.311063e-03
pair_pm_eqm_v2,5.0,16.0,3.537502e-03
pair_pm_eqm_v2,10.0,8.0,5.931619e-03
pair_pm_eqm_v2,10.0,16.0,6.058753e-03
pair_pm_eqm_v2,15.0,8.0,1.241353e-02
pair_pm_eqm_v2,15.0,16.0,9.783168e-03
pair_pm_eqm_v2,20.0,8.0,2.280963e-02
pair_pm_eqm_v2,20.0,16.0,1.443714e-02
pair_pm_eqm_v2,25.0,8.0,3.877376e-02
pair_pm_eqm_v2,25.0,16.0,2.027908e-02
pair_pm_eqm_v2,30.0,8.0,6.183298e-02
pair_pm_eqm_v2,30.0,16.0,2.722922e-02
pair_pm_eqm_v2,35.0,8.0,9.313428e-02
pair_pm_eqm_v2,35.0,16.0,3.513683e-02
pair_pm_eqm_v2,40.0,8.0,1.330399e-01
pair_pm_eqm_v2,40.0,16.0,4.333258e-02
pair_pm_v2,5.0,8.0,2.045495e-03
pair_pm_v2,5.0,16.0,3.660097e-03
pair_pm_v2,10.0,8.0,5.664616e-03
pair_pm_v2,10.0,16.0,6.378523e-03
pair_pm_v2,15.0,8.0,1.223474e-02
pair_pm_v2,15.0,16.0,1.036865e-02
pair_pm_v2,20.0,8.0,2.276102e-02
pair_pm_v2,20.0,16.0,1.534569e-02
pair_pm_v2,25.0,8.0,3.889303e-02
pair_pm_v2,25.0,16.0,2.163781e-02
pair_pm_v2,30.0,8.0,6.202241e-02
pair_pm_v2,30.0,16.0,2.901405e-02
pair_pm_v2,35.0,8.0,9.286214e-02
pair_pm_v2,35.0,16.0,3.737307e-02
pair_pm_v2,40.0,8.0,1.313907e-01
pair_pm_v2,40.0,16.0,4.658397e-02
single_m,5.0,8.0,1.193579e-02
single_m,5.0,16.0,8.607480e-04
single_m,10.0,8.0,1.686215e-02
single_m,10.0,16.0,1.322278e-03
single_m,15.0,8.0,2.131852e-02
single_m,15.0,16.0,2.038538e-03
single_m,20.0,8.0,2.480686e-02
single_m,20.0,16.0,3.009138e-03
single_p,5.0,8.0,1.153780e-02
single_p,5.0,16.0,2.174331e-03
single_p,10.0,8.0,1.804995e-02
single_p,10.0,16.0,2.479287e-03
single_p,15.0,8.0,2.474409e-02
single_p,15.0,16.0,1.358929e-03
single_p,20.0,8.0,3.154575e-02
single_p,20.0,16.0,1.580822e-03
