cell,u,radius,r_psi4
convA_mm_n128,15.0,16.0,5.724997e-02
convA_mm_n128,20.0,8.0,2.787814e-02
convA_mm_n128,20.0,16.0,9.604549e-03
convA_mm_n128,25.0,8.0,3.747595e-02
convA_mm_n128,25.0,16.0,7.685064e-02
convA_mm_n128,30.0,8.0,2.431206e-02
convA_mm_n128,30.0,16.0,4.749473e-02
convA_mm_n128,35.0,8.0,1.829643e-02
convA_mm_n128,35.0,16.0,3.611095e-02
convA_mm_n128,40.0,8.0,5.229680e-03
convA_mm_n128,40.0,16.0,2.308523e-02
convA_mm_n192,5.0,8.0,1.116692e-02
convA_mm_n192,5.0,16.0,3.909228e-02
convA_mm_n192,10.0,8.0,1.986172e-02
convA_mm_n192,10.0,16.0,4.207381e-03
convA_mm_n192,15.0,8.0,4.445314e-02
convA_mm_n192,15.0,16.0,5.929132e-02
convA_mm_n192,20.0,8.0,3.280546e-02
convA_mm_n192,20.0,16.0,3.030586e-02
convA_mm_n192,25.0,8.0,4.228606e-02
convA_mm_n192,25.0,16.0,9.230924e-02
convA_mm_n192,30.0,8.0,2.678238e-02
convA_mm_n192,30.0,16.0,5.108550e-02
convA_mm_n192,35.0,8.0,2.223221e-02
convA_mm_n192,35.0,16.0,4.630001e-02
convA_mm_n192,40.0,8.0,1.014989e-02
convA_mm_n192,40.0,16.0,2.937063e-02
convA_mm_n256,5.0,8.0,1.189539e-02
convA_mm_n256,5.0,16.0,3.905759e-02
convA_mm_n256,10.0,8.0,1.906547e-02
convA_mm_n256,10.0,16.0,2.306811e-03
convA_mm_n256,15.0,8.0,4.683135e-02
convA_mm_n256,15.0,16.0,6.118528e-02
convA_mm_n256,20.0,8.0,3.165654e-02
convA_mm_n256,20.0,16.0,3.175418e-02
convA_mm_n256,25.0,8.0,4.483994e-02
convA_mm_n256,25.0,16.0,9.941317e-02
convA_mm_n256,30.0,8.0,2.732945e-02
convA_mm_n256,30.0,16.0,5.209869e-02
convA_mm_n256,35.0,8.0,2.375130e-02
convA_mm_n256,35.0,16.0,5.007617e-02
convA_mm_n256,40.0,8.0,1.169012e-02
convA_mm_n256,40.0,16.0,3.341727e-02
convA_pm_eqm_n128,5.0,8.0,2.311063e-03
convA_pm_eqm_n128,5.0,16.0,3.537502e-03
convA_pm_eqm_n128,10.0,8.0,5.931619e-03
convA_pm_eqm_n128,10.0,16.0,6.058753e-03
convA_pm_eqm_n128,15.0,8.0,1.241353e-02
convA_pm_eqm_n128,15.0,16.0,9.783168e-03
convA_pm_eqm_n128,20.0,8.0,2.280963e-02
convA_pm_eqm_n128,20.0,16.0,1.443714e-02
convA_pm_eqm_n128,25.0,8.0,3.877376e-02
convA_pm_eqm_n128,25.0,16.0,2.027908e-02
convA_pm_eqm_n128,30.0,8.0,6.183298e-02
convA_pm_eqm_n128,30.0,16.0,2.722922e-02
convA_pm_eqm_n128,35.0,8.0,9.313428e-02
convA_pm_eqm_n128,35.0,16.0,3.513644e-02
convA_pm_eqm_n128,40.0,8.0,1.329292e-01
convA_pm_eqm_n128,40.0,16.0,4.329334e-02
convA_pm_eqm_n192,5.0,8.0,2.522649e-03
convA_pm_eqm_n192,5.0,16.0,3.544817e-03
convA_pm_eqm_n192,10.0,8.0,6.106268e-03
convA_pm_eqm_n192,10.0,16.0,6.050801e-03
convA_pm_eqm_n192,15.0,8.0,1.254534e-02
convA_pm_eqm_n192,15.0,16.0,9.754400e-03
convA_pm_eqm_n192,20.0,8.0,2.290815e-02
convA_pm_eqm_n192,20.0,16.0,1.438808e-02
convA_pm_eqm_n192,25.0,8.0,3.880834e-02
convA_pm_eqm_n192,25.0,16.0,2.017671e-02
convA_pm_eqm_n192,30.0,8.0,6.185810e-02
convA_pm_eqm_n192,30.0,16.0,2.711840e-02
convA_pm_eqm_n192,35.0,8.0,9.319925e-02
convA_pm_eqm_n192,35.0,16.0,3.498850e-02
convA_pm_eqm_n192,40.0,8.0,1.331612e-01
convA_pm_eqm_n192,40.0,16.0,4.308777e-02
convA_pm_eqm_n256,5.0,8.0,2.572374e-03
convA_pm_eqm_n256,5.0,16.0,3.564893e-03
convA_pm_eqm_n256,10.0,8.0,6.163810e-03
convA_pm_eqm_n256,10.0,16.0,6.074237e-03
convA_pm_eqm_n256,15.0,8.0,1.261780e-02
convA_pm_eqm_n256,15.0,16.0,9.785838e-03
convA_pm_eqm_n256,20.0,8.0,2.302444e-02
