NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.462476e+01        2.481778e+01        
2                   8.513131e+00        8.699151e+00        
3                   3.221289e+00        3.361092e+00        
4                   1.257966e+00        1.344159e+00        
5                   4.971734e-01        5.446066e-01        
6                   1.974262e-01        2.217385e-01        
7                   7.857295e-02        9.043282e-02        
8                   3.136970e-02        3.689588e-02        
9                   1.271518e-02        1.505124e-02        
10                  5.591463e-03        6.137898e-03        
11                  3.251572e-03        2.501953e-03        
12                  2.698774e-03        1.019334e-03        
13                  2.598953e-03        4.150195e-04        
14                  2.581405e-03        1.688032e-04        
15                  2.577254e-03        6.852812e-05        
16                  2.575241e-03        2.770673e-05        
17                  2.573570e-03        1.109733e-05        
18                  2.571955e-03        4.348147e-06        
19                  2.570352e-03        1.624920e-06        
20                  2.568752e-03        5.884852e-07        
21                  2.567156e-03        3.568034e-07        
22                  2.565563e-03        3.950037e-07        
23                  2.563973e-03        4.325126e-07        
24                  2.562385e-03        4.503648e-07        
25                  2.560801e-03        4.579448e-07        
26                  2.559219e-03        4.610374e-07        
27                  2.557640e-03        4.622604e-07        
28                  2.556064e-03        4.627173e-07        
29                  2.554490e-03        4.628623e-07        
30                  2.552920e-03        4.628806e-07        
31                  2.551352e-03        4.628476e-07        
32                  2.549787e-03        4.627938e-07        
33                  2.548224e-03        4.627317e-07        
34                  2.546665e-03        4.626661e-07        
35                  2.545108e-03        4.625993e-07        
36                  2.543554e-03        4.625319e-07        
37                  2.542002e-03        4.624644e-07        
38                  2.540454e-03        4.623968e-07        
39                  2.538908e-03        4.623293e-07        
40                  2.537364e-03        4.622618e-07        
41                  2.535824e-03        4.621943e-07        
42                  2.534286e-03        4.621269e-07        
43                  2.532750e-03        4.620596e-07        
44                  2.531218e-03        4.619923e-07        
45                  2.529688e-03        4.619250e-07        
46                  2.528160e-03        4.618579e-07        
47                  2.526635e-03        4.617907e-07        
48                  2.525113e-03        4.617237e-07        
49                  2.523594e-03        4.616566e-07        
