NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.539144e+01        2.394801e+01        
2                   8.886639e+00        8.068353e+00        
3                   3.394359e+00        2.983529e+00        
4                   1.337180e+00        1.138584e+00        
5                   5.330387e-01        4.393834e-01        
6                   2.134887e-01        1.701818e-01        
7                   8.569229e-02        6.596611e-02        
8                   3.449156e-02        2.556039e-02        
9                   1.405896e-02        9.895607e-03        
10                  6.133307e-03        3.826932e-03        
11                  3.433163e-03        1.478264e-03        
12                  2.758802e-03        5.703724e-04        
13                  2.632490e-03        2.198808e-04        
14                  2.610170e-03        8.476885e-05        
15                  2.605185e-03        3.277332e-05        
16                  2.603016e-03        1.282113e-05        
17                  2.601304e-03        5.236811e-06        
18                  2.599668e-03        2.471841e-06        
19                  2.598047e-03        1.586554e-06        
20                  2.596430e-03        1.345465e-06        
21                  2.594817e-03        1.279700e-06        
22                  2.593206e-03        1.259391e-06        
23                  2.591599e-03        1.252422e-06        
24                  2.589994e-03        1.249890e-06        
25                  2.588392e-03        1.248939e-06        
26                  2.586793e-03        1.248568e-06        
27                  2.585197e-03        1.248412e-06        
28                  2.583603e-03        1.248335e-06        
29                  2.582013e-03        1.248287e-06        
30                  2.580425e-03        1.248249e-06        
31                  2.578840e-03        1.248216e-06        
32                  2.577258e-03        1.248184e-06        
33                  2.575679e-03        1.248152e-06        
34                  2.574102e-03        1.248121e-06        
35                  2.572528e-03        1.248090e-06        
36                  2.570957e-03        1.248058e-06        
37                  2.569389e-03        1.248027e-06        
38                  2.567823e-03        1.247996e-06        
39                  2.566260e-03        1.247965e-06        
40                  2.564700e-03        1.247934e-06        
41                  2.563143e-03        1.247903e-06        
42                  2.561588e-03        1.247872e-06        
43                  2.560036e-03        1.247841e-06        
44                  2.558487e-03        1.247810e-06        
45                  2.556940e-03        1.247779e-06        
46                  2.555396e-03        1.247748e-06        
47                  2.553854e-03        1.247717e-06        
48                  2.552316e-03        1.247686e-06        
49                  2.550780e-03        1.247655e-06        
