NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500049e+01        2.440161e+01        
2                   8.696507e+00        8.392278e+00        
3                   3.306363e+00        3.177247e+00        
4                   1.296928e+00        1.244301e+00        
5                   5.148138e-01        4.936674e-01        
6                   2.053137e-01        1.968739e-01        
7                   8.203478e-02        7.868045e-02        
8                   3.280262e-02        3.147371e-02        
9                   1.312095e-02        1.259573e-02        
10                  5.249810e-03        5.042077e-03        
11                  2.102499e-03        2.018707e-03        
12                  8.466973e-04        8.083530e-04        
13                  3.522462e-04        3.237332e-04        
