   0.0050000    9.9999994272e-01    4.5784626472e-07    2.0465706442e-02    1.1210937500e+00    1.1210937500e+00    4.9609375000e-01    2.4984736551e-01   -2.0116807740e+00    1.0148735201e-01   -4.2683569704e-01    3.5884226758e-01   -1.3441823495e-03    6.7211447350e-04
   0.0100000    9.9999991944e-01    3.8003659678e-07    4.0466989038e-02    1.1210937500e+00    1.1210937500e+00    3.7109375000e-01    2.4984736551e-01   -2.0116941895e+00    1.0148735201e-01   -4.2612412942e-01    3.5716282513e-01   -2.6874659962e-03    1.3434451083e-03
   0.0150000    9.9999992039e-01    3.0222668822e-07    6.0005028640e-02    1.1132812500e+00    1.1132812500e+00    3.7109375000e-01    2.4984736551e-01   -2.0117000587e+00    1.0148735201e-01   -4.2557651805e-01    3.5884224690e-01   -4.0289552385e-03    2.0132093303e-03
   0.0200000    9.9999995437e-01    2.2441553237e-07    7.9080974606e-02    1.1132812500e+00    1.1132812500e+00    3.7109375000e-01    2.4984736551e-01   -2.0117007425e+00    1.0148735201e-01   -4.2512944373e-01    3.5716280157e-01   -5.3677673673e-03    2.6806349749e-03
   0.0250000    1.0000000505e+00    1.4660293938e-07    9.7695967372e-02    1.1054687500e+00    1.1054687500e+00    3.7109375000e-01    2.5009153598e-01   -2.0116994280e+00    1.0148735201e-01   -4.2474974206e-01    3.5884223703e-01   -6.7030335101e-03    3.3449930571e-03
   0.0300000    1.0000002046e+00    6.8793027968e-08    1.1585115987e-01    1.1054687500e+00    1.1054687500e+00    3.7109375000e-01    2.5009153598e-01   -2.7245521332e+00    6.7658234671e-03   -4.2441826136e-01    3.5716278330e-01   -8.0338993685e-03    4.0055672201e-03
   0.0350000    1.0000004037e+00    1.0000000000e-08    1.3354773773e-01    3.9062500000e-03    3.9062500000e-03    1.9531250000e-02    2.5033546828e-01   -7.2854666332e+00    6.7658234671e-03   -4.2412278487e-01    3.5884222942e-01   -9.3595258352e-03    4.6616226212e-03
   0.0400000    1.0000003888e+00    1.0000000000e-08    1.6226211613e-01    3.9062500000e-03    3.9062500000e-03    1.9531250000e-02    2.5033546828e-01   -7.1545991703e+00    6.7658234671e-03   -4.2384916903e-01    3.5716276560e-01   -1.0679089480e-02    5.3125220248e-03
   0.0450000    9.9999982890e-01    1.0000000000e-08    2.3294495545e-01    3.9062500000e-03    3.9062500000e-03    1.9531250000e-02    2.5057916312e-01   -7.0550309403e+00    6.7658234671e-03   -4.2358446814e-01    3.5884222038e-01   -1.1991782893e-02    5.9575969575e-03
   0.0500000    9.9999865648e-01    1.0000000000e-08    2.9023225627e-01    3.9062500000e-03    3.9062500000e-03    1.9531250000e-02    2.5082262120e-01   -6.9793748359e+00    6.7658234671e-03   -4.2332997522e-01    3.5716274576e-01   -1.3296814875e-02    6.5964077414e-03
   0.0550000    9.9999711589e-01    1.0000000000e-08    3.3860490498e-01    3.9062500000e-03    3.9062500000e-03    1.9531250000e-02    2.5106584319e-01   -6.9153640537e+00    6.7658234671e-03   -4.2309026661e-01    3.5884220964e-01   -1.4593410471e-02    7.2281927600e-03
   0.0600000    9.9999413244e-01    1.0000000000e-08    3.8009625881e-01    3.9062500000e-03    3.9062500000e-03    2.7343750000e-02    2.5106584319e-01   -6.8536282724e+00    6.7658234671e-03   -4.2286720548e-01    3.5716272405e-01   -1.5880810839e-02    7.8527820129e-03
   0.0650000    9.9998871842e-01    1.0000000000e-08    4.1565219733e-01    3.9062500000e-03    3.9062500000e-03    2.7343750000e-02    2.5130882979e-01   -6.7911765064e+00    6.7658234671e-03   -4.2265969437e-01    3.5884219753e-01   -1.7158272966e-02    8.4695214258e-03
   0.0700000    9.9998126155e-01    1.0000000000e-08    4.4596184366e-01    3.9062500000e-03    3.9062500000e-03    2.7343750000e-02    2.5179409952e-01   -6.7292988473e+00    6.7658234671e-03   -4.2246531553e-01    3.5716270061e-01   -1.8425069237e-02    9.0780509595e-03
