# time  Re(R=12)  Im(R=12)  Re(R=16)  Im(R=16)  Re(R=20)  Im(R=20)  Re(R=24)  Im(R=24)
0.0000000000000000e+00  -7.3358119642517484e-12  1.0959590675668100e-16  -5.7483772793430155e-13  -1.8144378819741867e-16  -1.2117674346369618e-13  5.3004745150870814e-17  -5.2415271969050114e-14  -1.6131305162528827e-16
5.0000000000000001e-03  -7.4422973259232802e-12  -2.4082309533536861e-16  -5.9176450250030271e-13  1.7413769671494005e-16  -1.2461991334654194e-13  -1.1480633509407815e-16  -5.3084175571868165e-14  1.4359351583646261e-17
1.0000000000000000e-02  -7.5603031337688195e-12  5.0133886925846397e-17  -6.0462332194690524e-13  -9.8716869021514893e-17  -1.2517999473600068e-13  -1.1619188930189638e-16  -6.1397505185370458e-14  3.4323472788577290e-16
1.4999999999999999e-02  -7.6805641615381636e-12  1.0101191120593142e-17  -5.9990927734907500e-13  -1.4111088638810120e-16  -1.1410075291789379e-13  3.4325417931467664e-16  -6.1037176486140154e-14  -2.0586206623820316e-16
2.0000000000000000e-02  -7.7938705657587678e-12  -1.1583441400673773e-16  -6.0656781041410663e-13  1.2747630001761051e-16  -1.2511332648244608e-13  3.2062555470943618e-18  -7.3402178864053051e-14  -2.8205871915890223e-16
2.5000000000000001e-02  -7.9164668474661272e-12  1.7471469244547189e-16  -6.2070122929536017e-13  -2.3328986101501817e-16  -1.2874066004922095e-13  -1.5743624650802717e-16  -7.6704511622294913e-14  -1.9937837682917193e-16
2.9999999999999999e-02  -8.0316686527683044e-12  4.8265684121151667e-17  -6.2295970825923810e-13  -5.9262276186302616e-19  -1.3625670737269817e-13  -3.3160017464144336e-16  -6.7725916945297711e-14  2.2128473855997450e-16
3.5000000000000003e-02  -8.1508248935360975e-12  -1.1539559532162467e-16  -6.4249524189166627e-13  -1.3399259398441387e-16  -1.3264680653015840e-13  6.6001892388154051e-16  -8.0676572236411152e-14  2.7316654501102347e-17
4.0000000000000001e-02  -8.2736732045177746e-12  1.6045034929259447e-16  -6.4626543975681450e-13  -8.9142423730759818e-17  -1.4108462613112416e-13  3.1109748132317003e-16  -7.6272804534881343e-14  2.1624699960189085e-16
4.4999999999999998e-02  -8.3921700196421276e-12  -1.4301534714900697e-16  -6.5717040209943927e-13  1.6175619850339447e-16  -1.3983310014348382e-13  -3.1495262768203139e-17  -6.9177501799947143e-14  2.3357438470757017e-16
