NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.511572e+01        2.424485e+01        
2                   8.754097e+00        8.290975e+00        
3                   3.333329e+00        3.122239e+00        
4                   1.309363e+00        1.216885e+00        
5                   5.204951e-01        4.807847e-01        
6                   2.078897e-01        1.910849e-01        
7                   8.319851e-02        7.617097e-02        
