NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.531321e+01        2.395313e+01        
2                   8.848192e+00        8.092506e+00        
3                   3.376422e+00        3.005756e+00        
4                   1.328917e+00        1.153230e+00        
5                   5.292701e-01        4.477104e-01        
6                   2.117790e-01        1.745397e-01        
7                   8.489965e-02        6.812987e-02        
8                   3.406583e-02        2.659670e-02        
9                   1.368594e-02        1.037916e-02        
10                  5.531197e-03        4.048126e-03        
11                  2.313435e-03        1.577832e-03        
12                  1.133819e-03        6.145523e-04        
