NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.501556e+01        2.438933e+01        
2                   8.703858e+00        8.390461e+00        
3                   3.309773e+00        3.177518e+00        
4                   1.298490e+00        1.244792e+00        
5                   5.155215e-01        4.940190e-01        
6                   2.056313e-01        1.970782e-01        
7                   8.217692e-02        7.878815e-02        
8                   3.286834e-02        3.152737e-02        
9                   1.315772e-02        1.262149e-02        
10                  5.285944e-03        5.054127e-03        
11                  2.167740e-03        2.024238e-03        
12                  9.886120e-04        8.108580e-04        
