# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
7.0399999999999096e+01  3.7361016039475615e+01  3.1999994740435096e+01  3.1999997194767644e+01  2.4554889054483123e-02  2.7363166201578096e+01  3.1999992502452375e+01  3.1999994885627732e+01  2.4441392583601045e-02  9.9978498378975189e+00  9.9991305121515008e+00  1.6114747577923686e-04  1.6154821100501410e-04  -4.0073522577724211e-07  -2.1638622457042177e-04  2.3109854332491219e-04  2.3578827810819491e-04
7.1199999999999505e+01  3.7369074682932578e+01  3.1999994571140146e+01  3.1999997099276914e+01  2.4553793024756361e-02  2.7371221162203661e+01  3.1999992455859495e+01  3.1999994796358049e+01  2.4438824696087390e-02  9.9978535207289170e+00  9.9990824108363210e+00  1.6314972987277132e-04  1.6352366850046511e-04  -3.7393862769378983e-07  -2.1918313881236817e-04  2.3343801197719613e-04  2.3836063337821190e-04
7.1999999999999901e+01  3.7378523163084914e+01  3.1999994407525911e+01  3.1999997003686527e+01  2.4554754416975574e-02  2.7379366622460790e+01  3.1999992419927214e+01  3.1999994715750383e+01  2.4435748268040177e-02  9.9991565406241243e+00  9.9990333564676401e+00  1.6515332533684782e-04  1.6550423804204592e-04  -3.5091270519810335e-07  -2.2192757889394181e-04  2.3592174155913839e-04  2.4100498188799857e-04
7.2800000000000296e+01  3.7386770147067757e+01  3.1999994250931714e+01  3.1999996905648295e+01  2.4553533294064220e-02  2.7387885624991643e+01  3.1999992380640737e+01  3.1999994643314935e+01  2.4433304774009325e-02  9.9988845220761142e+00  9.9989841180457280e+00  1.6715761389708231e-04  1.6748887566493925e-04  -3.3126176785693690e-07  -2.2450692388872073e-04  2.3884685662919929e-04  2.4410596963337267e-04
7.3600000000000705e+01  3.7395579397424868e+01  3.1999994113574722e+01  3.1999996812419873e+01  2.4548749840403773e-02  2.7396516940763625e+01  3.1999992312154987e+01  3.1999994561068480e+01  2.4431656537336154e-02  9.9990624566612425e+00  9.9989355695623363e+00  1.6916390267855298e-04  1.6947628501500753e-04  -3.1238233645454927e-07  -2.2694020243081857e-04  2.4166577094974692e-04  2.4700590200656467e-04
7.4400000000001199e+01  3.7404008266226917e+01  3.1999993991458751e+01  3.1999996727357193e+01  2.4543475279903713e-02  2.7404918052119143e+01  3.1999992223020108e+01  3.1999994468206268e+01  2.4429622674430097e-02  9.9990902141077740e+00  9.9988869645799721e+00  1.7117565709284764e-04  1.7146613624583314e-04  -2.9047915298550313e-07  -2.2905436699746510e-04  2.4481756554861107e-04  2.4993301364336084e-04
7.5200000000001594e+01  3.7412624124446033e+01  3.1999993877966180e+01  3.1999996652713495e+01  2.4541157757444327e-02  2.7413773911476184e+01  3.1999992124084567e+01  3.1999994366932867e+01  2.4426344209406810e-02  9.9988502129698489e+00  9.9988366077398609e+00  1.7319467513822237e-04  1.7345803779742129e-04  -2.6336265919891643e-07  -2.3188806085003023e-04  2.4771758830488289e-04  2.5302008580309701e-04
7.6000000000002004e+01  3.7421240946073361e+01  3.1999993770729400e+01  3.1999996588649303e+01  2.4541013259014578e-02  2.7422581345784579e+01  3.1999992017098922e+01  3.1999994254524307e+01  2.4422570241686703e-02  9.9986596002887822e+00  9.9987840163123032e+00  1.7522029472704726e-04  1.7545169683279584e-04  -2.3140210574857842e-07  -2.3547313222709197e-04  2.5005807307056435e-04  2.5587870221217813e-04
7.6800000000002399e+01  3.7430183660929792e+01  3.1999993668035863e+01  3.1999996531845781e+01  2.4539107569224932e-02  2.7431723206060209e+01  3.1999991899610151e+01  3.1999994126544536e+01  2.4419463008022325e-02  9.9984604548695835e+00  9.9987298882529441e+00  1.7725191324472083e-04  1.7744836895970377e-04  -1.9645571498294427e-07  -2.3801141651423965e-04  2.5307175514653585e-04  2.5883203174980875e-04
7.7600000000002794e+01  3.7438976832648279e+01  3.1999993560372598e+01  3.1999996470635534e+01  2.4533739227164567e-02  2.7440471002228119e+01  3.1999991786161118e+01  3.1999993995656013e+01  2.4416970144667254e-02  9.9985058304201608e+00  9.9986756513265576e+00  1.7928864086888411e-04  1.7944918088058171e-04  -1.6054001169760190e-07  -2.4011235074236124e-04  2.5617365100934008e-04  2.6187373680752334e-04
7.8400000000003203e+01  3.7448188100872315e+01  3.1999993449366507e+01  3.1999996399102763e+01  2.4527589264482435e-02  2.7449311084227553e+01  3.1999991673409308e+01  3.1999993865913311e+01  2.4414088054985392e-02  9.9988770166447623e+00  9.9986224995957347e+00  1.8132982755053552e-04  1.8145377432785803e-04  -1.2394677732251494e-07  -2.4283792379482436e-04  2.5890581587297939e-04  2.6478130105650098e-04
7.9200000000003598e+01  3.7457173434931931e+01  3.1999993335758191e+01  3.1999996317036675e+01  2.4524037235509336e-02  2.7458242931595031e+01  3.1999991559420391e+01  3.1999993738578098e+01  2.4410178438821119e-02  9.9989305033369007e+00  9.9985696704014426e+00  1.8337603900886641e-04  1.8346082133225206e-04  -8.4782323385646429e-08  -2.4558915268150096e-04  2.6159719654067297e-04  2.6734810163729216e-04
