NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.512892e+01        2.421188e+01        
2                   8.758605e+00        8.272083e+00        
3                   3.334834e+00        3.110821e+00        
4                   1.309841e+00        1.210012e+00        
5                   5.206249e-01        4.768011e-01        
6                   2.079084e-01        1.888738e-01        
7                   8.318538e-02        7.499017e-02        
