# time  Re(R=16)  Im(R=16)  Re(R=24)  Im(R=24)  Re(R=32)  Im(R=32)  Re(R=40)  Im(R=40)
0.0000000000000000e+00  -9.3416092215312980e-06  7.7600497538105896e-07  -1.2404813148319812e-06  -1.6878986434922880e-10  -3.7745167150806816e-07  -2.3132788206709549e-13  -1.4535196293375862e-07  -3.7947667322108873e-14
4.0000000000000002e-01  -9.4884095627056812e-06  2.0099288468091780e-09  -1.2188240472102922e-06  2.8847846769030558e-11  -3.7739971916561783e-07  -1.9075729574075246e-13  -1.4480335665803747e-07  -3.0630868795979346e-14
8.0000000000000004e-01  -1.0002424519513113e-05  8.0155437605085784e-09  -1.2196839803054721e-06  6.8716234676298714e-12  -3.7674858574518114e-07  -1.4658478855200804e-13  -1.4549395859039695e-07  -2.1356683538099234e-14
1.2000000000000000e+00  -9.2275449952185591e-06  -1.5531462012509317e-08  -1.2127900336609947e-06  -6.8122881815753599e-11  -3.7574268137156623e-07  -9.9482462960093067e-14  -1.4491714949184155e-07  -1.1099743940822930e-14
1.6000000000000001e+00  -9.3271070404147405e-06  -8.2456358710682383e-08  -1.2174672729728873e-06  8.7809141970408144e-11  -3.7579661717827336e-07  -4.5381336444927008e-14  -1.4472558560611938e-07  -1.7944793621526050e-15
2.0000000000000000e+00  -9.8931090223842159e-06  2.3452343713074863e-08  -1.2039173149882972e-06  3.1075321839919692e-10  -3.7497132753969490e-07  1.6566104328812618e-14  -1.4481053190137520e-07  8.8395115775695318e-15
2.3999999999999901e+00  -9.0981051138768362e-06  3.8898419806437658e-07  -1.1960237725368727e-06  1.4505316780014386e-10  -3.7434957835200886e-07  5.9634798968331458e-14  -1.4460175701597433e-07  2.1042072118385540e-14
2.7999999999999798e+00  -9.0455465861337137e-06  -4.2855036569767924e-07  -1.2193291540275650e-06  -9.5899157317298623e-10  -3.7384472107896030e-07  2.6442271743592500e-13  -1.4435886276402944e-07  3.4589287662299207e-14
3.1999999999999802e+00  -7.8017603590110261e-06  -3.4376443945581380e-07  -1.2031974585854913e-06  7.1253441362227955e-10  -3.7305174924586557e-07  -1.4317675292471591e-13  -1.4423617072603014e-07  4.6822634173025357e-14
3.5999999999999699e+00  -9.3005850624210302e-06  3.8195142232543331e-07  -1.1898695764293496e-06  2.0454682271950725e-09  -3.7236503386947606e-07  9.5673954499347880e-13  -1.4410013305429969e-07  6.4212627672894085e-14
3.9999999999999600e+00  -1.0634715170962646e-05  2.4160186064631135e-07  -1.2007332238091313e-06  -3.2562982710726530e-09  -3.7163134631493814e-07  1.2107246162031819e-12  -1.4386124866853454e-07  8.0874666155522873e-14
4.3999999999999497e+00  -8.4542416324405958e-06  1.9809033944387989e-07  -1.1667005917015787e-06  -1.3463222439281234e-09  -3.7072918414376795e-07  -6.0282695180420663e-12  -1.4368667940706551e-07  9.8724535910923845e-14
4.7999999999999403e+00  -7.4692745971764436e-06  -1.4618340254893199e-07  -1.1705395047768728e-06  2.4885466079794931e-09  -3.6969938457954357e-07  1.2569413745625340e-11  -1.4348838212553854e-07  1.1733939455989568e-13
5.1999999999999300e+00  -8.4416584936440890e-06  -3.9509987658170613e-07  -1.1828442607496337e-06  1.3481051725644502e-09  -3.6890750148270192e-07  6.5776156546584646e-12  -1.4322802554053696e-07  1.3960398995686719e-13
5.5999999999999304e+00  -9.2944041768424677e-06  -1.7856668716511575e-07  -1.1546347773784327e-06  3.1413676230400753e-09  -3.6797280393683203e-07  -2.8520462242431739e-11  -1.4304054575193662e-07  1.6334863544868632e-13
5.9999999999999201e+00  -9.4825517467103436e-06  1.8771109982376929e-07  -1.1745027100660341e-06  -1.4899258628552077e-09  -3.6643126047656646e-07  1.6359481204158347e-11  -1.4279980437918246e-07  1.8911480425325379e-13
6.3999999999999098e+00  -9.4546904418072205e-06  -3.6102317284027617e-08  -1.1333522297728941e-06  -6.0156531821064234e-10  -3.6449462768133510e-07  2.3783352498378248e-11  -1.4246336851535775e-07  2.1584420852881253e-13
