# time  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16  chi_mean_R24  chi_min_R24  chi_max_R24  lapse_mean_R24  lapse_min_R24  lapse_max_R24  K_mean_R24  K_min_R24  K_max_R24  chi_mean_R32  chi_min_R32  chi_max_R32  lapse_mean_R32  lapse_min_R32  lapse_max_R32  K_mean_R32  K_min_R32  K_max_R32  chi_mean_R40  chi_min_R40  chi_max_R40  lapse_mean_R40  lapse_min_R40  lapse_max_R40  K_mean_R40  K_min_R40  K_max_R40
3.9999999999999600e+00  1.0013907000370468e+00  9.9699960539509991e-01  1.0062321062567259e+00  1.0008325261805662e+00  9.9853947706116453e-01  1.0033419438266109e+00  -2.9390708984051576e-07  -5.9673255738550301e-05  7.5404012190944094e-05  1.0007942478636835e+00  9.9896538938852031e-01  1.0027232433519708e+00  1.0005490406264406e+00  9.9954509140037173e-01  1.0016027988434189e+00  -8.0500932918055924e-08  -1.9662096062155633e-06  2.8536181355804813e-06  1.0004990467714474e+00  9.9953790674719811e-01  1.0014996646094894e+00  1.0004106509750015e+00  9.9985344229517481e-01  1.0009901036461428e+00  -3.8663776291292132e-08  -5.7368292768351119e-08  -3.1226651008554083e-08  1.0003213554071020e+00  9.9976736671455568e-01  1.0008854996899901e+00  1.0003280517349724e+00  9.9997353683610046e-01  1.0006944635769286e+00  -1.5684854126652923e-08  -2.0852122075391041e-08  -1.3513601505158894e-08
4.3999999999999497e+00  1.0013910382089148e+00  9.9695853816911006e-01  1.0062797745797880e+00  1.0008324081822446e+00  9.9861532381788121e-01  1.0032552150859024e+00  1.1281941867186919e-06  -1.4028497433511274e-04  1.7757557390868213e-04  1.0007942280129809e+00  9.9896546894914806e-01  1.0027231778381240e+00  1.0005491111039242e+00  9.9954494537993743e-01  1.0016029201297434e+00  -8.6689052807104164e-08  -2.0362878422507722e-06  3.1409368799565250e-06  1.0004990357078904e+00  9.9953789709571184e-01  1.0014996483254293e+00  1.0004106836274054e+00  9.9985347186221751e-01  1.0009901500913192e+00  -4.3063418862970435e-08  -6.2656372655208494e-08  -3.5243720254040631e-08  1.0003213509542863e+00  9.9976736234204355e-01  1.0008854936773601e+00  1.0003280649553949e+00  9.9997354978353370e-01  1.0006944806718203e+00  -1.7397293857681926e-08  -2.2743356323790446e-08  -1.5277512579479684e-08
4.7999999999999403e+00  1.0013922057945162e+00  9.9688899675626086e-01  1.0063762038195923e+00  1.0008306018106192e+00  9.9874594164728103e-01  1.0030839543326835e+00  3.9614585108079336e-06  -2.2144609074300971e-04  3.2474893057473806e-04  1.0007942079538008e+00  9.9896522892910089e-01  1.0027226927420574e+00  1.0005491838489649e+00  9.9954533439989768e-01  1.0016038328424040e+00  -8.3016061719131253e-08  -2.1638746923454669e-06  3.4323800564861444e-06  1.0004990234009825e+00  9.9953788641482744e-01  1.0014996307191695e+00  1.0004107198739964e+00  9.9985350449709443e-01  1.0009902008155334e+00  -4.7651338566062917e-08  -6.8774763967912747e-08  -3.7766880817249864e-08  1.0003213460253413e+00  9.9976735759576341e-01  1.0008854874380340e+00  1.0003280795656080e+00  9.9997356404277882e-01  1.0006944989640083e+00  -1.9159047709391574e-08  -2.4470426344128807e-08  -1.6989321516416149e-08
5.1999999999999300e+00  1.0013947319762773e+00  9.9679955117703578e-01  1.0065172968766647e+00  1.0008258823152263e+00  9.9888892235638205e-01  1.0028669738613891e+00  8.4890484749319944e-06  -2.8808449490774047e-04  4.5095308130568498e-04  1.0007941940972547e+00  9.9896457844656239e-01  1.0027222313893198e+00  1.0005492471079989e+00  9.9954654381129326e-01  1.0016049960084985e+00  -6.2314678327019075e-08  -2.1788867723677731e-06  4.1140522455672889e-06  1.0004990097936841e+00  9.9953787451475784e-01  1.0014996112884378e+00  1.0004107598655183e+00  9.9985354055381448e-01  1.0009902566319888e+00  -5.2417148543448232e-08  -7.5417511560182534e-08  -2.9742466465775489e-08  1.0003213406050504e+00  9.9976735274938444e-01  1.0008854808425403e+00  1.0003280956061913e+00  9.9997357902216977e-01  1.0006945184939311e+00  -2.0972201826703077e-08  -2.6601834521510201e-08  -1.8502982264982400e-08
5.5999999999999304e+00  1.0013993158588730e+00  9.9670243267764513e-01  1.0066776461967450e+00  1.0008166350459300e+00  9.9905964518933488e-01  1.0026191829114350e+00  1.5333526651986165e-05  -3.1852341623659356e-04  5.2179978069722571e-04  1.0007941896853612e+00  9.9896392768900166e-01  1.0027224946203943e+00  1.0005492915960543e+00  9.9954800331637506e-01  1.0016049385038330e+00  -4.0183929891426816e-08  -1.7477672295842427e-06  4.3829757489487420e-06  1.0004989948400649e+00  9.9953786103547237e-01  1.0014995896492904e+00  1.0004108037382640e+00  9.9985358073761832e-01  1.0009903184037181e+00  -5.7367622802667446e-08  -8.2862393887577146e-08  -2.2499479453329068e-08  1.0003213346801856e+00  9.9976734750465013e-01  1.0008854733816466e+00  1.0003281131160573e+00  9.9997359509030326e-01  1.0006945401379752e+00  -2.2830451872431159e-08  -2.9082968451280261e-08  -2.0036242208626077e-08
5.9999999999999201e+00  1.0014066938769597e+00  9.9660477160797756e-01  1.0068352724575249e+00  1.0008009395901523e+00  9.9925276474679803e-01  1.0023301755082485e+00  2.4481161334739942e-05  -3.5532765745652461e-04  5.6002696115140503e-04  1.0007941861066130e+00  9.9896349362044168e-01  1.0027238014393069e+00  1.0005493288323100e+00  9.9954924169801640e-01  1.0016027190950483e+00  -4.6694213172694572e-08  -2.1924217027819720e-06  4.5465288681006238e-06  1.0004989784458593e+00  9.9953784603463447e-01  1.0014995662202053e+00  1.0004108517066082e+00  9.9985362522829846e-01  1.0009903856280400e+00  -6.2694383541096748e-08  -1.3763500153414862e-07  4.4455466921939652e-09  1.0003213282388925e+00  9.9976734130483447e-01  1.0008854650759131e+00  1.0003281321316386e+00  9.9997361330002066e-01  1.0006945640515128e+00  -2.4738388858660686e-08  -3.1584365569082739e-08  -2.1874368710983372e-08
6.3999999999999098e+00  1.0014172816049545e+00  9.9650384224824395e-01  1.0069877754182288e+00  1.0007772838369395e+00  9.9947178032026263e-01  1.0020645392955370e+00  3.5103846441353802e-05  -3.9177397003239663e-04  5.8868005765587352e-04  1.0007941723787963e+00  9.9896323995060454e-01  1.0027260042374608e+00  1.0005493814493489e+00  9.9955025511629259e-01  1.0015983831575612e+00  -6.8315285084407880e-08  -3.1732084658208703e-06  6.5796328144679758e-06  1.0004989604566124e+00  9.9953783001389596e-01  1.0014995409576806e+00  1.0004109041216345e+00  9.9985367310710160e-01  1.0009904581491698e+00  -6.8431443387354432e-08  -1.8084413462078847e-07  4.3572957120360310e-08  1.0003213212625279e+00  9.9976733427364717e-01  1.0008854562202532e+00  1.0003281527010404e+00  9.9997363373690185e-01  1.0006945897658237e+00  -2.6717309156097614e-08  -3.3888401535493611e-08  -2.3726068783770603e-08
6.7999999999999003e+00  1.0014311889898884e+00  9.9639453495772601e-01  1.0071397870239716e+00  1.0007447884791190e+00  9.9965871498626224e-01  1.0017303353645226e+00  4.6565075806253323e-05  -4.3084189883745673e-04  6.1642018302950909e-04  1.0007941617556577e+00  9.9896323864308600e-01  1.0027276026595509e+00  1.0005494335372069e+00  9.9955076173117263e-01  1.0015942717278927e+00  -3.3149627849289125e-08  -3.1106460812995237e-06  5.6595281046966432e-06  1.0004989408962852e+00  9.9953781178338907e-01  1.0014995121509653e+00  1.0004109610815264e+00  9.9985372624116298e-01  1.0009905391131997e+00  -7.3911599521403791e-08  -2.3543217643728358e-07  6.9428616652650879e-08  1.0003213137270373e+00  9.9976732717989414e-01  1.0008854467622277e+00  1.0003281748850483e+00  9.9997365509168201e-01  1.0006946173006650e+00  -2.8773907270870254e-08  -3.6175466552249151e-08  -2.5481968247071863e-08
7.1999999999998900e+00  1.0014483488469805e+00  9.9627698461695635e-01  1.0072892897109698e+00  1.0007030311711285e+00  9.9990941679380507e-01  1.0014386191862350e+00  5.8165085638620899e-05  -4.6850394665129245e-04  6.3951972793177461e-04  1.0007941834198515e+00  9.9896314949243814e-01  1.0027260160517961e+00  1.0005494284202006e+00  9.9955121441222050e-01  1.0015955090297191e+00  6.2609526918462393e-08  -8.7001888995461074e-06  7.6004469448219872e-06  1.0004989200275973e+00  9.9953779076642979e-01  1.0014994816384486e+00  1.0004110221774929e+00  9.9985378660788171e-01  1.0009906268905118e+00  -7.8877157860746873e-08  -3.1744594405946111e-07  1.2061748921642753e-07  1.0003213056101914e+00  9.9976731989465417e-01  1.0008854365710056e+00  1.0003281987447648e+00  9.9997367725761466e-01  1.0006946468878017e+00  -3.0906311432688029e-08  -3.8817409043077731e-08  -2.7543071832748236e-08
7.5999999999998797e+00  1.0014682005635782e+00  9.9615410901494572e-01  1.0074331844398461e+00  1.0006525840279206e+00  1.0000193346329238e+00  1.0011538193743745e+00  6.8023458045161447e-05  -5.0583482577716077e-04  6.4957234107706325e-04  1.0007942261933653e+00  9.9896181488753011e-01  1.0027210164633042e+00  1.0005493675431443e+00  9.9955369041138953e-01  1.0016044836958506e+00  7.5678565943707156e-08  -1.4678815953243764e-05  6.0084379957000166e-06  1.0004988977214886e+00  9.9953777207613470e-01  1.0014994548101943e+00  1.0004110875116807e+00  9.9985384570918356e-01  1.0009907102275930e+00  -8.4788412560860792e-08  -4.5378372716202978e-07  1.8332014717263109e-07  1.0003212968891528e+00  9.9976731152330467e-01  1.0008854256108759e+00  1.0003282243438245e+00  9.9997370179003231e-01  1.0006946786446151e+00  -3.3123364864423177e-08  -4.1599275406142934e-08  -2.9715062752518657e-08
