NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.578454e+01        2.341405e+01        
2                   9.073124e+00        7.693453e+00        
3                   3.478628e+00        2.763881e+00        
4                   1.374980e+00        1.020374e+00        
5                   5.499046e-01        3.792538e-01        
6                   2.209847e-01        1.408120e-01        
7                   8.904960e-02        5.204582e-02        
