# time  Re(R=16)  Im(R=16)  Re(R=24)  Im(R=24)  Re(R=32)  Im(R=32)  Re(R=40)  Im(R=40)
0.0000000000000000e+00  -9.3416092215236188e-06  7.7600497553055688e-07  -1.2404813150115049e-06  -1.6878963040568246e-10  -3.7745167267296208e-07  -2.3135915402663106e-13  -1.4535196349609353e-07  -3.7813929377890208e-14
4.0000000000000002e-01  -9.4884095625973711e-06  2.0099287999247397e-09  -1.2188240474924912e-06  2.8847827416035428e-11  -3.7739971911502296e-07  -1.9077320045120949e-13  -1.4480335696594562e-07  -3.0064538963522589e-14
8.0000000000000004e-01  -1.0002424519407459e-05  8.0155439479091387e-09  -1.2196839802263249e-06  6.8713808213971141e-12  -3.7674858535996553e-07  -1.4613460019788250e-13  -1.4549396004503773e-07  -2.0894543977535175e-14
1.2000000000000000e+00  -9.2275449956520587e-06  -1.5531462336484371e-08  -1.2127900341021044e-06  -6.8123087498376421e-11  -3.7574268114117327e-07  -9.9616606795207943e-14  -1.4491714798141616e-07  -1.1114399003640410e-14
1.6000000000000001e+00  -9.3271070394891775e-06  -8.2456358499896779e-08  -1.2174672720794418e-06  8.7808809453100235e-11  -3.7579661759909526e-07  -4.5463344686614226e-14  -1.4472558365049977e-07  -1.4016985992646958e-15
2.0000000000000000e+00  -9.8931090224981419e-06  2.3452343574133137e-08  -1.2039173148192309e-06  3.1075323447290275e-10  -3.7497132723968949e-07  1.6291891358326617e-14  -1.4481053572230935e-07  8.9382472556485432e-15
2.3999999999999901e+00  -9.0981051138310083e-06  3.8898419801404313e-07  -1.1960237727042328e-06  1.4505312650482785e-10  -3.7434957819619720e-07  5.9815757924567591e-14  -1.4460174875106110e-07  2.0769070604778231e-14
2.7999999999999798e+00  -9.0455465862133975e-06  -4.2855036564799858e-07  -1.2193291531048749e-06  -9.5899177468226934e-10  -3.7384471997508017e-07  2.6467723561300075e-13  -1.4435887745828160e-07  3.4956701975921830e-14
3.1999999999999802e+00  -7.8017603588598240e-06  -3.4376443943829927e-07  -1.2031974586765537e-06  7.1253452334751411e-10  -3.7305174925545133e-07  -1.4305125328757865e-13  -1.4423616777189386e-07  4.9405015240920553e-14
3.5999999999999699e+00  -9.3005850626118108e-06  3.8195142214304155e-07  -1.1898695759210756e-06  2.0454676982678189e-09  -3.7236503398951943e-07  9.5634463721126812e-13  -1.4410012731193853e-07  6.3262745755221558e-14
3.9999999999999600e+00  -1.0634715170664585e-05  2.4160186067252072e-07  -1.2007332248933974e-06  -3.2562981770143286e-09  -3.7163134647551383e-07  1.2110581288244995e-12  -1.4386125452181315e-07  8.0062128345936671e-14
4.3999999999999497e+00  -8.4542416314307698e-06  1.9809033978379379e-07  -1.1667005915503570e-06  -1.3463223644050500e-09  -3.7072918392479818e-07  -6.0282841945474086e-12  -1.4368667830052428e-07  9.9022268178580980e-14
4.7999999999999403e+00  -7.4692745972366990e-06  -1.4618340243914101e-07  -1.1705395036507645e-06  2.4885470817432354e-09  -3.6969938324058755e-07  1.2569325874902710e-11  -1.4348836830933138e-07  1.1763268226378931e-13
5.1999999999999300e+00  -8.4416584927269523e-06  -3.9509987680066045e-07  -1.1828442607054376e-06  1.3481055095024644e-09  -3.6890750256748876e-07  6.5768756739370067e-12  -1.4322803419843315e-07  1.3958335002137019e-13
5.5999999999999304e+00  -9.2944041767806800e-06  -1.7856668715573179e-07  -1.1546347787080171e-06  3.1413677217556706e-09  -3.6797280519186709e-07  -2.8520546747864138e-11  -1.4304056217417156e-07  1.6215896683031756e-13
5.9999999999999201e+00  -9.4825517473079101e-06  1.8771110024040960e-07  -1.1745027098384113e-06  -1.4899262627028552e-09  -3.6643125924340571e-07  1.6359559861996845e-11  -1.4279977480127004e-07  1.8817583888317738e-13
6.3999999999999098e+00  -9.4546904410111281e-06  -3.6102317350752849e-08  -1.1333522289703554e-06  -6.0156593639963944e-10  -3.6449462780815081e-07  2.3783652010624575e-11  -1.4246337801924744e-07  2.1455715722636031e-13
6.7999999999999003e+00  -7.4490358481957525e-06  -1.1435351900299508e-07  -1.0767638415416899e-06  1.1853848427731759e-09  -3.6442414903377458e-07  -8.7890167106014459e-11  -1.4220404879239838e-07  2.5681627964320952e-13
7.1999999999998900e+00  -3.7752989640539790e-06  6.9434318189053847e-07  -1.0896026155258912e-06  -5.0931366404250152e-08  -3.6474159904133770e-07  3.9506717486960541e-11  -1.4194840388846117e-07  2.5426685869582513e-13
7.5999999999998797e+00  -2.7397694703953357e-06  4.1026629769942295e-07  -1.2469990083165276e-06  3.5276972938254812e-08  -3.5995853504397359e-07  2.5322359681966838e-10  -1.4159710692082326e-07  3.3248646358458636e-13
7.9999999999998703e+00  -4.4814243752590218e-06  -4.9186076350470604e-07  -1.3685011661288558e-06  1.4680457974691392e-07  -3.5546183655525908e-07  -3.7119588449069786e-10  -1.4124484284821406e-07  5.0576976154876859e-13
8.3999999999998707e+00  -6.3846044519128338e-06  -5.2307564146554208e-07  -7.2798827868391610e-07  -1.3133340150037524e-07  -3.5585398493538886e-07  -2.4442238716642702e-10  -1.4087937155471388e-07  -1.0493232013824087e-13
8.7999999999998604e+00  -7.1615550275724009e-06  -3.1651431707072498e-07  -4.5246964498791169e-07  -2.0011691753260067e-07  -3.5748595781172126e-07  1.2872579948816613e-09  -1.4045776067902651e-07  8.3347954282543517e-13
9.1999999999998501e+00  -4.6590362630411367e-06  3.0496696041543974e-07  -1.5762467410494166e-06  1.5146285884109101e-07  -3.5925673187646899e-07  -1.2214100454738743e-10  -1.4005913418809442e-07  2.0182721606319940e-12
9.5999999999998398e+00  3.3998893929374317e-07  7.8646741879060624e-07  -1.6634569996870839e-06  1.5845442079974690e-07  -3.5208198812239306e-07  -2.3304895160066679e-09  -1.3964508962188789e-07  -3.1033772789655746e-12
9.9999999999998295e+00  3.0326053320087709e-06  -1.5685860295248929e-07  -1.2440603941399785e-07  3.6303702606339214e-08  -3.3492269563649562e-07  3.6412415155176587e-12  -1.3910689335651615e-07  -1.0694448364289488e-13
1.0399999999999800e+01  3.0500152936237139e-06  -1.0658724906259872e-06  -1.4583612635556768e-08  1.3414869998034073e-08  -3.3528937668582912e-07  2.1325944982322995e-09  -1.3850658278079908e-07  1.1284060500452132e-11
1.0799999999999800e+01  5.1379194131477238e-06  -2.8440665895731536e-07  -1.4418420723758411e-06  -2.4507744854669029e-07  -3.5672302444123809e-07  1.8357830386389853e-09  -1.3805519612141711e-07  -2.2106068204003025e-12
1.1199999999999800e+01  1.1528597614673428e-05  8.6252320163686521e-07  -1.6673652420734592e-06  -2.1895562430574332e-07  -3.4515576808109944e-07  -1.0761303523125714e-09  -1.3771531974471688e-07  -1.0606813484695881e-11
1.1599999999999801e+01  2.0076448975088077e-05  6.2908243266277019e-07  -8.5600344759525510e-07  1.5490382359018716e-07  -3.2249925715556696e-07  -2.6818084262252681e-09  -1.3667612422065796e-07  1.4288368278837358e-11
1.1999999999999799e+01  2.7512907539178150e-05  -2.7682690491062883e-07  -6.9461694461861266e-07  9.3421354551506395e-08  -3.4764070490221568e-07  8.9458633526043664e-09  -1.3514704766656013e-07  -2.7324537740060216e-11
1.2399999999999800e+01  3.3118559062431674e-05  -2.3570370994008109e-07  -4.4913388819963531e-07  4.9357603613027258e-08  -2.6159183502388531e-07  -1.1172887722444576e-08  -1.3528301730096273e-07  -3.7593042174323927e-11
1.2799999999999800e+01  3.9050113920265420e-05  3.5607167655700985e-07  4.6906134095583489e-07  3.8112738989681633e-07  -1.8650952824260392e-07  -4.1022010001704672e-08  -1.3649529069946681e-07  1.6613565982946791e-10
1.3199999999999800e+01  4.5660596452579214e-05  2.0774774480101514e-07  7.3750720438459321e-07  1.8456143330374812e-07  -5.6456663337370887e-07  5.5309279789984936e-08  -1.3468369405222000e-07  1.2533356480295462e-11
1.3599999999999801e+01  5.1347665858508205e-05  -3.9397503115444493e-07  -1.2812488153794754e-07  -4.1126349828809806e-07  -6.9855481839520437e-07  9.7304397762505140e-08  -1.2926960957964331e-07  -4.8041436799494514e-10
1.3999999999999700e+01  5.7113211262299762e-05  -5.8823058408336829e-07  -1.6199775167511155e-06  -5.9349043883592417e-07  1.5598825497672055e-07  -1.0377059828688064e-07  -1.2676640314045743e-07  2.3993244284571118e-10
1.4399999999999700e+01  6.4505428797741705e-05  -1.7827334558399494e-07  -2.4896547756531276e-06  -3.5936725770566603e-07  3.9787961929067667e-07  -1.5485600760099478e-07  -1.3337969007649542e-07  1.1379696546380762e-09
1.4799999999999701e+01  7.2174486077047255e-05  4.5147467867862774e-07  -1.9456403142321509e-07  3.0092248562644755e-07  -8.2966922443351827e-07  7.1505073363973794e-08  -1.3882578140991352e-07  -5.5593650948006095e-10
