NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.461226e+01        2.487750e+01        
2                   8.507021e+00        8.732997e+00        
3                   3.218446e+00        3.379162e+00        
4                   1.256660e+00        1.353389e+00        
5                   4.965765e-01        5.491447e-01        
6                   1.971456e-01        2.239016e-01        
7                   7.841515e-02        9.143889e-02        
8                   3.121620e-02        3.735489e-02        
9                   1.243893e-02        1.525754e-02        
10                  4.978271e-03        6.229562e-03        
11                  2.044203e-03        2.542361e-03        
12                  9.545902e-04        1.037089e-03        
