NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.461272e+01        2.483786e+01        
2                   8.507267e+00        8.705922e+00        
3                   3.218570e+00        3.363110e+00        
4                   1.256720e+00        1.344662e+00        
5                   4.966046e-01        5.446767e-01        
6                   1.971583e-01        2.217113e-01        
7                   7.842001e-02        9.039911e-02        
8                   3.121613e-02        3.687306e-02        
9                   1.243324e-02        1.503838e-02        
10                  4.961604e-03        6.131332e-03        
11                  2.002220e-03        2.498849e-03        
12                  8.606166e-04        1.018002e-03        
