NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500067e+01        2.435420e+01        
2                   8.696581e+00        8.367374e+00        
3                   3.306393e+00        3.164741e+00        
4                   1.296940e+00        1.238177e+00        
5                   5.148185e-01        4.907423e-01        
6                   2.053158e-01        1.955076e-01        
7                   8.203674e-02        7.805417e-02        
8                   3.280649e-02        3.119106e-02        
9                   1.313034e-02        1.246978e-02        
10                  5.273163e-03        4.986548e-03        
11                  2.160048e-03        1.994440e-03        
12                  9.806359e-04        7.978288e-04        
