NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.511611e+01        2.421432e+01        
2                   8.753551e+00        8.275137e+00        
3                   3.332871e+00        3.113831e+00        
4                   1.309082e+00        1.212301e+00        
5                   5.203386e-01        4.782962e-01        
6                   2.078049e-01        1.897613e-01        
7                   8.315072e-02        7.548399e-02        
8                   3.330197e-02        3.007044e-02        
9                   1.335035e-02        1.199149e-02        
10                  5.372809e-03        4.786161e-03        
