sector,omega,status,phi_c,adm_mass,r99_iso,r90_iso,r99_areal,compactness_iso,compactness_areal
canonical,0.575,ok,0.019786056,0.049974542,8.459076,7.057294,8.509124,1.181560e-02,1.174611e-02
phantom,0.575,ok,0.019694064,-0.057993415,8.824132,7.522745,8.766234,1.314428e-02,1.323109e-02
canonical,0.58,ok,0.019803535,0.047690150,8.462328,6.960488,8.510086,1.127117e-02,1.120791e-02
phantom,0.58,ok,0.019714041,-0.055026671,8.748376,7.397397,8.693436,1.257986e-02,1.265936e-02
canonical,0.59,ok,0.019837261,0.043546360,8.386763,6.785349,8.430366,1.038454e-02,1.033083e-02
phantom,0.59,ok,0.019752805,-0.049735947,8.693287,7.192093,8.643622,1.144238e-02,1.150813e-02
canonical,0.6,ok,0.019869002,0.039891858,8.374633,6.622790,8.414572,9.526831e-03,9.481613e-03
phantom,0.6,ok,0.019789676,-0.045136667,8.583337,6.981842,8.538259,1.051728e-02,1.057280e-02
canonical,0.615,ok,0.019911915,0.035175319,8.300743,6.399437,8.335955,8.475222e-03,8.439421e-03
phantom,0.615,ok,0.019840521,-0.039328788,8.524293,6.722384,8.485009,9.227461e-03,9.270182e-03
canonical,0.63,ok,0.019947717,0.031215421,8.308174,6.205481,8.339419,7.514388e-03,7.486234e-03
phantom,0.63,ok,0.019884623,-0.034536500,8.480240,6.478287,8.445738,8.145171e-03,8.178444e-03
canonical,0.65,ok,0.019981229,0.026859397,8.331111,5.978850,8.357992,6.447975e-03,6.427237e-03
phantom,0.65,ok,0.019929885,-0.029369388,8.454405,6.201394,8.425061,6.947713e-03,6.971911e-03
canonical,0.67,ok,0.019994060,0.023320507,8.372289,5.769465,8.395626,5.570880e-03,5.555395e-03
phantom,0.67,ok,0.019955358,-0.025255232,8.464115,5.961110,8.438878,5.967602e-03,5.985448e-03
canonical,0.69,ok,0.019980835,0.020420590,8.443500,5.591248,8.463933,4.836997e-03,4.825319e-03
phantom,0.69,ok,0.019955762,-0.021941450,8.573804,5.770814,8.551876,5.118253e-03,5.131377e-03
canonical,0.71,ok,0.019935523,0.018024143,8.598922,5.446667,8.616956,4.192186e-03,4.183413e-03
phantom,0.71,ok,0.019925163,-0.019229441,8.650341,5.598216,8.631122,4.445938e-03,4.455838e-03
