NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.511684e+01        2.424060e+01        
2                   8.753909e+00        8.287483e+00        
3                   3.333038e+00        3.118998e+00        
4                   1.309159e+00        1.214403e+00        
5                   5.203739e-01        4.791390e-01        
6                   2.078217e-01        1.900947e-01        
7                   8.316021e-02        7.561416e-02        
8                   3.331121e-02        3.012054e-02        
9                   1.336698e-02        1.201046e-02        
