NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.538915e+01        2.384634e+01        
2                   8.885479e+00        8.016572e+00        
3                   3.393803e+00        2.960724e+00        
4                   1.336916e+00        1.128805e+00        
5                   5.329120e-01        4.352248e-01        
6                   2.134195e-01        1.684211e-01        
7                   8.563297e-02        6.522324e-02        
8                   3.439517e-02        2.524788e-02        
9                   1.384386e-02        9.764443e-03        
10                  5.633388e-03        3.771935e-03        
11                  2.435516e-03        1.455160e-03        
12                  1.329504e-03        5.605827e-04        
