NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.538859e+01        2.397350e+01        
2                   8.885198e+00        8.082597e+00        
3                   3.393671e+00        2.991726e+00        
4                   1.336855e+00        1.143033e+00        
5                   5.328831e-01        4.416641e-01        
6                   2.134052e-01        1.713006e-01        
7                   8.562330e-02        6.649704e-02        
8                   3.438276e-02        2.580603e-02        
9                   1.381817e-02        1.000699e-02        
10                  5.572237e-03        3.876566e-03        
11                  2.291537e-03        1.500003e-03        
12                  1.043073e-03        5.796860e-04        
