NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500082e+01        2.435915e+01        
2                   8.696680e+00        8.370545e+00        
3                   3.306448e+00        3.167187e+00        
4                   1.296968e+00        1.239729e+00        
5                   5.148328e-01        4.916076e-01        
6                   2.053224e-01        1.959530e-01        
7                   8.203868e-02        7.827170e-02        
8                   3.280429e-02        3.129350e-02        
9                   1.312149e-02        1.251677e-02        
10                  5.249539e-03        5.007670e-03        
11                  2.101120e-03        2.003787e-03        
12                  8.429656e-04        8.019121e-04        
13                  3.430535e-04        3.209636e-04        
14                  1.509159e-04        1.284803e-04        
15                  8.707189e-05        5.143615e-05        
