# time  Re(R=16)  Im(R=16)  Re(R=24)  Im(R=24)  Re(R=32)  Im(R=32)  Re(R=40)  Im(R=40)
0.0000000000000000e+00  -2.5719175885889879e-08  6.1415046974236655e-17  -5.6265657822871641e-09  4.9269303559491311e-17  -1.6055677655842539e-09  5.3021813164626643e-17  -6.0123078213779273e-10  -1.7297409701168621e-17
8.0000000000000004e-01  -2.2158836112517760e-08  9.7969772899510652e-17  -5.3494100869936226e-09  1.2343962721184169e-17  -1.4513657968864728e-09  -8.1875523388442839e-17  -6.7316691078719217e-10  7.0976715771081579e-17
1.6000000000000001e+00  -1.7777991996170696e-08  -1.8433427128807378e-16  -4.8837697463278238e-09  -5.7320948947545699e-17  -1.5149292850180767e-09  6.5581760653663016e-17  -5.2211209021399139e-10  1.3011143225319717e-16
2.3999999999999901e+00  -1.2338495057648722e-08  -6.5017689857146008e-17  -4.4340845284400451e-09  1.1943718793145439e-16  -1.3898840884550710e-09  -4.3447383095427107e-17  -5.3602006540760426e-10  6.6687593482036715e-17
3.1999999999999802e+00  -2.1040808490420821e-09  2.9067654797216446e-16  -3.8050220163051150e-09  -9.2567429487255708e-17  -1.2969745484503360e-09  2.4990294643558470e-16  -5.5398692325383322e-10  3.7814236317958339e-16
3.9999999999999600e+00  -1.6117928272177258e-08  -9.1891006211954438e-17  -3.0860298368436087e-09  3.6703470602848442e-16  -1.1880860292058041e-09  1.4410438161688335e-16  -4.8109377914853753e-10  -3.5314731265770032e-16
4.7999999999999403e+00  5.6019085721421228e-08  -3.7867721292107993e-17  -2.1776964967109894e-09  -3.5524558861014424e-17  -1.0653412672442249e-09  -1.5694520086785151e-16  -4.6236349198960784e-10  -1.9349100681263407e-16
5.5999999999999304e+00  4.8471764595249958e-08  2.4462390429734631e-16  -1.0500413268106130e-09  -1.5986033535052259e-16  -9.0735548196298281e-10  3.1787480519586361e-16  -4.5131856121682512e-10  2.4575176210119115e-16
6.3999999999999098e+00  2.7541643290356202e-08  1.4093847383813308e-17  5.8329574786483798e-11  3.1839368729646261e-17  -7.3243432626530309e-10  -2.0320495120685673e-17  -3.8872562450693300e-10  -1.9682459682833648e-16
7.1999999999998900e+00  1.4928693924798329e-07  4.5647882694400027e-17  2.1042436950022522e-09  1.0728747828906944e-16  -5.2459188853533134e-10  2.6399808975292393e-16  -3.5608606172726043e-10  -1.9424341824650100e-16
