# time  R16_l3_m-3_re  R16_l3_m-3_im  R16_l3_m-2_re  R16_l3_m-2_im  R16_l3_m-1_re  R16_l3_m-1_im  R16_l3_m0_re  R16_l3_m0_im  R16_l3_m1_re  R16_l3_m1_im  R16_l3_m2_re  R16_l3_m2_im  R16_l3_m3_re  R16_l3_m3_im  R16_l4_m-4_re  R16_l4_m-4_im  R16_l4_m-3_re  R16_l4_m-3_im  R16_l4_m-2_re  R16_l4_m-2_im  R16_l4_m-1_re  R16_l4_m-1_im  R16_l4_m0_re  R16_l4_m0_im  R16_l4_m1_re  R16_l4_m1_im  R16_l4_m2_re  R16_l4_m2_im  R16_l4_m3_re  R16_l4_m3_im  R16_l4_m4_re  R16_l4_m4_im  R24_l3_m-3_re  R24_l3_m-3_im  R24_l3_m-2_re  R24_l3_m-2_im  R24_l3_m-1_re  R24_l3_m-1_im  R24_l3_m0_re  R24_l3_m0_im  R24_l3_m1_re  R24_l3_m1_im  R24_l3_m2_re  R24_l3_m2_im  R24_l3_m3_re  R24_l3_m3_im  R24_l4_m-4_re  R24_l4_m-4_im  R24_l4_m-3_re  R24_l4_m-3_im  R24_l4_m-2_re  R24_l4_m-2_im  R24_l4_m-1_re  R24_l4_m-1_im  R24_l4_m0_re  R24_l4_m0_im  R24_l4_m1_re  R24_l4_m1_im  R24_l4_m2_re  R24_l4_m2_im  R24_l4_m3_re  R24_l4_m3_im  R24_l4_m4_re  R24_l4_m4_im  R32_l3_m-3_re  R32_l3_m-3_im  R32_l3_m-2_re  R32_l3_m-2_im  R32_l3_m-1_re  R32_l3_m-1_im  R32_l3_m0_re  R32_l3_m0_im  R32_l3_m1_re  R32_l3_m1_im  R32_l3_m2_re  R32_l3_m2_im  R32_l3_m3_re  R32_l3_m3_im  R32_l4_m-4_re  R32_l4_m-4_im  R32_l4_m-3_re  R32_l4_m-3_im  R32_l4_m-2_re  R32_l4_m-2_im  R32_l4_m-1_re  R32_l4_m-1_im  R32_l4_m0_re  R32_l4_m0_im  R32_l4_m1_re  R32_l4_m1_im  R32_l4_m2_re  R32_l4_m2_im  R32_l4_m3_re  R32_l4_m3_im  R32_l4_m4_re  R32_l4_m4_im  R40_l3_m-3_re  R40_l3_m-3_im  R40_l3_m-2_re  R40_l3_m-2_im  R40_l3_m-1_re  R40_l3_m-1_im  R40_l3_m0_re  R40_l3_m0_im  R40_l3_m1_re  R40_l3_m1_im  R40_l3_m2_re  R40_l3_m2_im  R40_l3_m3_re  R40_l3_m3_im  R40_l4_m-4_re  R40_l4_m-4_im  R40_l4_m-3_re  R40_l4_m-3_im  R40_l4_m-2_re  R40_l4_m-2_im  R40_l4_m-1_re  R40_l4_m-1_im  R40_l4_m0_re  R40_l4_m0_im  R40_l4_m1_re  R40_l4_m1_im  R40_l4_m2_re  R40_l4_m2_im  R40_l4_m3_re  R40_l4_m3_im  R40_l4_m4_re  R40_l4_m4_im
0.0000000000000000e+00  1.4247835554731600e-05  5.2755328506588411e-11  -7.2484288564630756e-09  -6.2400892105599890e-09  -1.1060614843194494e-05  -6.7972370119502819e-11  5.4997366191743990e-17  -2.8755486758963522e-08  1.1060614843255853e-05  -6.7972339518629486e-11  7.2484288913094254e-09  -6.2400892302269219e-09  -1.4247835554720339e-05  5.2755362069650719e-11  3.1317218208555749e-08  1.5833791804957334e-08  2.8968096082679683e-08  -3.9011586909336773e-11  -1.8919500590425626e-08  -1.6735254244765134e-08  -2.4112081332967805e-08  -2.7845014246606884e-11  1.8062314614153452e-08  3.1385644498928075e-17  -2.4112081410589904e-08  2.7845028210642071e-11  -1.8919500714711915e-08  1.6735254218289194e-08  2.8968096079152214e-08  3.9011609162016436e-11  3.1317218184231948e-08  -1.5833791768971580e-08  1.8661167543516968e-06  8.5204568483424591e-10  2.8019890432935774e-10  -6.3656716737943848e-10  -1.4475539808923937e-06  -6.6275165526921425e-10  -7.6262917773060305e-17  -2.1727147009049938e-09  1.4475539806012823e-06  -6.6275162946020885e-10  -2.8019881974860031e-10  -6.3656717116856210e-10  -1.8661167543436936e-06  8.5204560073766417e-10  1.4689546648689797e-09  1.2009598836280450e-09  5.1516794303239110e-10  8.7945473680361614e-10  -9.8728482750641600e-10  -1.0789955074894826e-09  2.3907128349078813e-09  1.1121480028940489e-10  1.6325305082334451e-09  3.1219300752490345e-19  2.3907130219745253e-09  -1.1121479597654443e-10  -9.8728489320698626e-10  1.0789954785762082e-09  5.1516804596587302e-10  -8.7945473441806437e-10  1.4689547903614184e-09  -1.2009598801004959e-09  4.4160528898566498e-07  2.1281544678194796e-10  5.9552181543025670e-11  -1.1518884079771041e-10  -3.4249202806978058e-07  -1.0479443155888578e-10  -4.2203829153276025e-18  -3.6700148055587096e-10  3.4249202808814097e-07  -1.0479434145869521e-10  -5.9552140255858840e-11  -1.1518890596773318e-10  -4.4160528900063449e-07  2.1281547249922593e-10  1.6670339457096895e-10  2.0361986459189595e-10  1.4921892135191076e-09  1.3883361975221779e-10  -1.6072462845472817e-10  -1.7406129406341017e-10  -6.4550961900473974e-10  -3.3517473311791811e-11  1.5946365957690159e-10  -4.1018938162233562e-17  -6.4550954528469625e-10  3.3517361715129059e-11  -1.6072448005896398e-10  1.7406136614185358e-10  1.4921890769205923e-09  -1.3883354521761785e-10  1.6670332570148729e-10  -2.0361983357752731e-10  1.4195452612118085e-07  6.1792674037333989e-11  1.3277173148442569e-11  -3.0286620206167304e-11  -1.0991493073781338e-07  -2.3464439006269091e-11  -2.4560242379389581e-16  -9.2113235459418250e-11  1.0991493080611173e-07  -2.3464281141298748e-11  -1.3276971911386537e-11  -3.0286541412474472e-11  -1.4195452601520552e-07  6.1792775910998404e-11  1.6324620200687771e-13  5.1307892552072231e-11  2.4053437653756533e-10  3.1002585855681504e-11  -3.6954570040413086e-11  -4.2256644022967432e-11  -2.8347271013359373e-10  -1.6762802076724195e-11  -2.8664254685495141e-11  4.7711152192876264e-17  -2.8347288696876139e-10  1.6762960932762481e-11  -3.6954702103096004e-11  4.2256459559682147e-11  2.4053439140116549e-10  -3.1002602159469196e-11  1.6301550186078923e-13  -5.1307992454212079e-11
8.0000000000000004e-01  1.4247219636615745e-05  4.8050772140989915e-11  -7.2637589314017164e-09  -6.2396552967997078e-09  -1.1060414955286302e-05  -6.1970867170998844e-11  3.2768179285498179e-16  -2.8761890678517328e-08  1.1060414955526726e-05  -6.1970752860216372e-11  7.2637588738819333e-09  -6.2396553009106110e-09  -1.4247219636944531e-05  4.8050398496622452e-11  3.0585808763539545e-08  1.5845623069419119e-08  2.8668015663319710e-08  -3.5440661992079310e-11  -1.8371616597395533e-08  -1.6741145946542842e-08  -2.4816248831538413e-08  -2.5280921770954497e-11  1.7555302777312042e-08  1.0545873363895952e-16  -2.4816248921599192e-08  2.5281022623696083e-11  -1.8371616320640197e-08  1.6741145776616068e-08  2.8668015540159638e-08  3.5440603235775402e-11  3.0585808877982199e-08  -1.5845622993942782e-08  1.8661851743674808e-06  8.5818159445834621e-10  3.7566058158021940e-10  -6.3984327669361523e-10  -1.4477047165103169e-06  -6.7577271818522028e-10  1.6392958580219064e-16  -2.1696342987167494e-09  1.4477047166653212e-06  -6.7577264346247011e-10  -3.7566056714418156e-10  -6.3984315894428329e-10  -1.8661851744885851e-06  8.5818145400486450e-10  1.5188698209941673e-09  1.2000020251332104e-09  5.8403828744799521e-10  8.9695767227157179e-10  -9.1856224074469306e-10  -1.0785370838147366e-09  2.4621150574848764e-09  1.2203439401851673e-10  1.6222004250383551e-09  -2.2285811415491400e-16  2.4621148575184235e-09  -1.2203468382679229e-10  -9.1856185701902853e-10  1.0785372222744211e-09  5.8403828765255367e-10  -8.9695778453631422e-10  1.5188700229396488e-09  -1.2000018294250641e-09  4.4170084290179418e-07  2.2694125831175720e-10  1.5693746320192147e-10  -1.1528672650252496e-10  -3.4263098970787780e-07  -1.0536432937259687e-10  -3.7765650595959461e-16  -3.6327324289749399e-10  3.4263098957117589e-07  -1.0536463539277270e-10  -1.5693709181919983e-10  -1.1528698459430054e-10  -4.4170084341957621e-07  2.2694134876386195e-10  9.6511480693746724e-12  2.0170656132618587e-10  1.5312298668777438e-09  1.4443724057157635e-10  -2.1256695023430085e-10  -1.7796060018653242e-10  -6.8380268416564186e-10  -3.8915147091807564e-11  5.0812165836603059e-11  -3.0223065378835310e-16  -6.8380223350231814e-10  3.8914835233008187e-11  -2.1256751374501377e-10  1.7796053706802634e-10  1.5312295883474697e-09  -1.4443767330154168e-10  9.6512372179188844e-12  -2.0170653091361555e-10  1.4184019333290231e-07  7.9447594632253822e-11  -5.2458371123831486e-11  -3.1742610438229787e-11  -1.0985985633252961e-07  -1.1334628270131596e-11  6.8343737049526068e-16  -9.2332858459901824e-11  1.0985985675082693e-07  -1.1334997246274154e-11  5.2458218310741510e-11  -3.1743119197908205e-11  -1.4184019382305915e-07  7.9447600016813110e-11  -8.7134968688448228e-12  5.1465006735693329e-11  2.1414222317033411e-10  1.3945367185964212e-11  -5.5468833096109180e-11  -4.0414960580620845e-11  -2.6021225268896417e-10  -4.1519578149034706e-11  -8.1533136527928978e-11  -1.5406679105403131e-16  -2.6021217759443518e-10  4.1519317469515932e-11  -5.5467983171762337e-11  4.0415644131726354e-11  2.1414208703890873e-10  -1.3945952808065967e-11  -8.7132902382521072e-12  -5.1465012115958347e-11
1.6000000000000001e+00  1.4244695966582292e-05  6.3409260407841508e-11  -7.6618575504089344e-09  -6.2486181805307319e-09  -1.1060923282099084e-05  -8.1213021009054412e-11  -1.7105177103911832e-16  -2.8651875036270497e-08  1.1060923281396560e-05  -8.1212927932719436e-11  7.6618576465861093e-09  -6.2486183122803012e-09  -1.4244695966684387e-05  6.3409092658469911e-11  2.9294108490709948e-08  1.5794119213589728e-08  2.6545712347158669e-08  -3.3063241348381012e-11  -1.7885437075639322e-08  -1.6639291003982078e-08  -2.3845729435109665e-08  -6.9475512652615669e-11  1.7119924772798655e-08  -5.4712056709223425e-17  -2.3845728788216627e-08  6.9475550677589153e-11  -1.7885437058234866e-08  1.6639291327822620e-08  2.6545712340852297e-08  3.3063368407153968e-11  2.9294108203971085e-08  -1.5794119061006897e-08  1.8660435913081750e-06  8.4510105277041112e-10  2.6241417133459739e-10  -6.3704672625386434e-10  -1.4475403369760512e-06  -6.5987412975663675e-10  4.8333844425728663e-16  -2.1706181996814601e-09  1.4475403369746041e-06  -6.5987432056832677e-10  -2.6241428833390549e-10  -6.3704669617761594e-10  -1.8660435909905385e-06  8.4510071619566082e-10  1.4521142540432272e-09  1.2012747401744832e-09  5.3442029200626883e-10  8.7466100583789476e-10  -9.6685497605033219e-10  -1.0747062796429068e-09  2.3973191587061916e-09  1.1045599103171269e-10  1.6055610101036515e-09  -2.6580003584498806e-16  2.3973185761437179e-09  -1.1045547575945695e-10  -9.6685472417737434e-10  1.0747067733728705e-09  5.3442087955060652e-10  -8.7466097267687872e-10  1.4521140948232423e-09  -1.2012744657868604e-09  4.4162365464596969e-07  2.1231210595007565e-10  1.9526688763289476e-11  -1.1593076456484335e-10  -3.4243064427846725e-07  -1.0353870961528714e-10  -2.2172498688583419e-16  -3.6741490829084243e-10  3.4243064421530146e-07  -1.0353914870777378e-10  -1.9527062117379081e-11  -1.1593093196187043e-10  -4.4162365395936172e-07  2.1231161911913086e-10  1.2174463727378788e-10  2.0410929801615613e-10  1.5605278142698399e-09  1.3773645077934275e-10  -2.2133282624498346e-10  -1.6946374005341867e-10  -7.1117581675092225e-10  -3.4203094561187993e-11  8.2252762948926792e-11  -1.4975017971550095e-17  -7.1117630041904358e-10  3.4202263218623891e-11  -2.2133347119460297e-10  1.6946301100050721e-10  1.5605281153607506e-09  -1.3773661586466203e-10  1.2174464090348402e-10  -2.0410904635004775e-10  1.4205769006484442e-07  7.0360708104377112e-11  -2.1397577102179182e-12  -3.0107472510202289e-11  -1.0998913002804628e-07  -3.2790859307562394e-11  -5.9244099611106368e-17  -9.2925082377072557e-11  1.0998912956321608e-07  -3.2791506038983672e-11  2.1396806569214314e-12  -3.0107174111377753e-11  -1.4205768933224960e-07  7.0361375269463974e-11  8.8004809786795869e-11  5.1821194697417591e-11  2.1217552332669697e-10  4.3984646302340769e-11  -1.0775910846430167e-10  -4.3472775869415032e-11  -2.4028180829448047e-10  -1.4314487995451130e-11  -2.3327985521451981e-11  -9.6966887547553959e-17  -2.4028158891337313e-10  1.4314754688294600e-11  -1.0775877652206606e-10  4.3473465953274406e-11  2.1217640310897371e-10  -4.3984679326818193e-11  8.8004585256361764e-11  -5.1820531096745692e-11
2.3999999999999901e+00  1.4242763162014783e-05  8.0130661266040619e-11  -9.4920383984870392e-09  -6.3517048085831277e-09  -1.1073375536965180e-05  -1.0280550015103097e-10  -2.1022802340429436e-16  -2.8077993484959796e-08  1.1073375536413700e-05  -1.0280535418600999e-10  9.4920380786178018e-09  -6.3517048264624051e-09  -1.4242763161909473e-05  8.0130614776985708e-11  2.3169268978042597e-08  1.5487936643606380e-08  1.4639450460613970e-08  -2.4082379635202222e-11  -1.5517492426493378e-08  -1.6047502321994638e-08  -2.0971455649951031e-08  -1.3711011400801415e-10  1.4951730516199878e-08  -2.4020413435504890e-17  -2.0971455630742018e-08  1.3711013232280990e-10  -1.5517492975016208e-08  1.6047502944147319e-08  1.4639450595651350e-08  2.4082471568839564e-11  2.3169268958535954e-08  -1.5487936502313516e-08  1.8661950839889022e-06  8.4311179692624229e-10  2.9158135164082623e-10  -6.3680841312328742e-10  -1.4475751857156044e-06  -6.5205416724562887e-10  1.1728296471920621e-16  -2.1752290787105819e-09  1.4475751861496672e-06  -6.5205488387132734e-10  -2.9158151054097188e-10  -6.3680846902738160e-10  -1.8661950836704154e-06  8.4311178476586403e-10  1.3818986810181409e-09  1.2045293490394259e-09  5.3004148488342364e-10  8.6872070578134644e-10  -9.3883729498481098e-10  -1.0797313920012795e-09  2.4363690732708096e-09  1.0831959895284671e-10  1.5579119426677220e-09  2.6782250593606395e-17  2.4363689690296147e-09  -1.0831927025261625e-10  -9.3883758768597036e-10  1.0797318200070420e-09  5.3004131539328233e-10  -8.6872104982146278e-10  1.3818991408305853e-09  -1.2045289429292008e-09  4.4158530642182928e-07  2.1933759313005723e-10  6.4274449535117023e-11  -1.1450088424069105e-10  -3.4246640151802618e-07  -1.0972282216840384e-10  -1.5115815909470107e-16  -3.6605986930105008e-10  3.4246640201515484e-07  -1.0972333917912822e-10  -6.4273795659574125e-11  -1.1450082195351509e-10  -4.4158530727449023e-07  2.1933767550318118e-10  1.5822682519393410e-10  2.0349512673900656e-10  1.4958430969108148e-09  1.4285451528033759e-10  -1.1333352580318707e-10  -1.7351803290298584e-10  -6.2654045640052457e-10  -3.5449435081961871e-11  1.9256914667319789e-10  -4.8029837983367167e-18  -6.2653995529564768e-10  3.5449730907230348e-11  -1.1333372493456400e-10  1.7351816277327444e-10  1.4958431616920865e-09  -1.4285460687940671e-10  1.5822740254069045e-10  -2.0349472246016454e-10  1.4191124821966596e-07  5.9450736621525816e-11  5.2139049816323490e-12  -3.0374454303063370e-11  -1.0985169511107217e-07  -2.1237766826201123e-11  -3.1326464708570626e-16  -9.0252500292740790e-11  1.0985169529561690e-07  -2.1236305113486009e-11  -5.2137185464207670e-12  -3.0374397646542726e-11  -1.4191124935231148e-07  5.9451660160343974e-11  -3.9840231157888376e-11  5.0393316996117772e-11  2.5473896805116129e-10  2.8382217699855044e-11  -2.8714828995158427e-12  -4.2572757812823668e-11  -3.0823350572267470e-10  -1.6516067810985017e-11  -9.7239610531101225e-11  -2.6394586131055339e-16  -3.0823423572422705e-10  1.6516099444074854e-11  -2.8715929092068764e-12  4.2572445696880406e-11  2.5473881287384027e-10  -2.8381046129703176e-11  -3.9839566534602109e-11  -5.0392717299359809e-11
3.1999999999999802e+00  1.4212759415154476e-05  -9.9583509854226042e-11  -5.2496462823246628e-09  -5.6426725647810015e-09  -1.1020274859283973e-05  1.2560552703838214e-10  -3.6606011040534223e-16  -3.1189217602720980e-08  1.1020274859425299e-05  1.2560597338209955e-10  5.2496461995855159e-09  -5.6426725524277787e-09  -1.4212759414989207e-05  -9.9583089957940651e-11  2.7492252155881187e-08  1.7198882763270656e-08  4.8353647143491749e-08  6.2350427103994159e-11  -1.8477722127307642e-08  -1.9427935837730804e-08  -2.7290296067941456e-08  8.7963814686725439e-11  5.7156881571123011e-09  3.1956636936015773e-16  -2.7290295332784620e-08  -8.7964255951167406e-11  -1.8477722056468274e-08  1.9427935824010184e-08  4.8353647224831053e-08  -6.2350675313558390e-11  2.7492251966620632e-08  -1.7198883203042979e-08  1.8660581748247076e-06  8.5505840438072448e-10  2.7507219107543426e-10  -6.3589260089070102e-10  -1.4475422689750894e-06  -6.6676461421510048e-10  4.2202527222690655e-17  -2.1710751995810653e-09  1.4475422688667243e-06  -6.6676520862200615e-10  -2.7507230700036394e-10  -6.3589249926249169e-10  -1.8660581742471029e-06  8.5505813748258482e-10  1.3012981590487759e-09  1.2029877408561020e-09  4.7795286235532060e-10  8.8673679292620007e-10  -8.5165609080012900e-10  -1.0785224421637093e-09  2.3363885719110938e-09  1.1304263469901589e-10  1.4974067302028055e-09  5.5974469619708286e-17  2.3363876386697536e-09  -1.1304135766028563e-10  -8.5165596194769408e-10  1.0785227047151499e-09  4.7795346760686882e-10  -8.8673671676650244e-10  1.3012980328475872e-09  -1.2029870957915715e-09  4.4163433136721081e-07  2.1010231570793123e-10  5.8678020215005430e-11  -1.1577708576113653e-10  -3.4253346054267499e-07  -1.0323963425871018e-10  6.7252784367213913e-16  -3.6770902884107104e-10  3.4253346002201782e-07  -1.0323957120844979e-10  -5.8677819206220003e-11  -1.1577724712366489e-10  -4.4163433159028011e-07  2.1010165346896950e-10  1.4187958912596999e-10  2.0452976777743466e-10  1.4783664762264465e-09  1.3786877124549881e-10  -1.6341845971879551e-10  -1.7398103949298611e-10  -6.4718609407791674e-10  -3.2119978363882685e-11  9.6860844943266375e-11  -4.2275129919709715e-16  -6.4718588926085023e-10  3.2119471311174800e-11  -1.6341872358286006e-10  1.7398208291874540e-10  1.4783662026198623e-09  -1.3786863854865439e-10  1.4188019521867411e-10  -2.0452966184929854e-10  1.4197361857392582e-07  6.0834958749888162e-11  1.1663034249219667e-11  -2.9974713463022608e-11  -1.0994626520227593e-07  -2.2206432464226240e-11  -5.4956043557063291e-17  -9.2348634830243168e-11  1.0994626590916852e-07  -2.2205422837208808e-11  -1.1663271554149451e-11  -2.9974588952772091e-11  -1.4197361929422867e-07  6.0835466098701375e-11  5.3698028077174586e-11  5.1574215481995868e-11  2.3090799229051143e-10  3.1101250117135081e-11  -4.7014266860202569e-11  -4.1521095875628149e-11  -2.7350696789222486e-10  -1.6538511571548963e-11  5.4240387752303263e-11  9.4959635952045003e-16  -2.7350743127440341e-10  1.6537962780556863e-11  -4.7014299684844615e-11  4.1520653761532378e-11  2.3090828407214457e-10  -3.1100888038953399e-11  5.3698018354189968e-11  -5.1574672332410457e-11
3.9999999999999600e+00  1.4619313774936064e-05  7.3080736022863976e-11  -1.1003833023668961e-08  -7.0518970385054257e-09  -1.1366919891201528e-05  -9.3182238066625128e-11  1.8391436132191736e-16  -2.5922876995582634e-08  1.1366919891238482e-05  -9.3182358600521001e-11  1.1003833008570923e-08  -7.0518967667927080e-09  -1.4619313774645584e-05  7.3080314339572435e-11  6.5155328100225573e-08  1.4327180880750066e-08  2.9363280753962747e-08  -1.6801032069534901e-10  -4.3498648183845793e-08  -1.3485093905853024e-08  5.4871141470502580e-09  2.7029267742848247e-10  4.3431178573837767e-08  -1.8382768768297283e-16  5.4871136987047076e-09  -2.7029291678758705e-10  -4.3498648467160526e-08  1.3485094171353986e-08  2.9363281010189790e-08  1.6801030602927282e-10  6.5155328118888898e-08  -1.4327180392803861e-08  1.8661437121487542e-06  8.4963260215662105e-10  2.8672506068830471e-10  -6.3704029144741341e-10  -1.4475649760653030e-06  -6.5992105713343371e-10  -4.8107812117280568e-16  -2.1719573218557843e-09  1.4475649762395404e-06  -6.5992020915583131e-10  -2.8672495210964551e-10  -6.3704027550110787e-10  -1.8661437118878219e-06  8.4963275103228184e-10  1.2866383686385250e-09  1.2041964951887298e-09  5.4668603253948273e-10  8.7954215038025194e-10  -8.5359351052467494e-10  -1.0759535444474851e-09  2.4162646657420005e-09  1.1125955538108277e-10  1.4958430371077286e-09  -5.5975498684089090e-18  2.4162645438650238e-09  -1.1126042961748124e-10  -8.5359285959581098e-10  1.0759540221470694e-09  5.4668576606953497e-10  -8.7954200360528269e-10  1.2866377572929286e-09  -1.2041965319202759e-09  4.4159451867163715e-07  2.1309504235412937e-10  6.2750937821428910e-11  -1.1499129121455102e-10  -3.4248290556529648e-07  -1.0452843715450168e-10  -1.1162936369662342e-16  -3.6732373538299633e-10  3.4248290628214370e-07  -1.0452953975127606e-10  -6.2750673449495358e-11  -1.1499173037180541e-10  -4.4159451828031058e-07  2.1309392547625859e-10  1.4399355104303826e-10  2.0445038298461917e-10  1.4840524888826732e-09  1.3843216741104427e-10  -1.2855471301258830e-10  -1.7396688710359787e-10  -6.6517514981420043e-10  -3.4369525687974178e-11  1.5972599338353520e-10  2.8636068571838018e-16  -6.6517576714271793e-10  3.4370519906187000e-11  -1.2855424147187743e-10  1.7396717746692509e-10  1.4840521249056409e-09  -1.3843278729587120e-10  1.4399312165716113e-10  -2.0444981351247317e-10  1.4194832967284507e-07  6.1853546557089512e-11  2.1517419637294695e-11  -3.0442699475409101e-11  -1.0990673238014571e-07  -2.4300620231612793e-11  -1.5494087958470413e-15  -9.1972747735546122e-11  1.0990673325334090e-07  -2.4299701867044228e-11  -2.1516872420419210e-11  -3.0442781999018696e-11  -1.4194832970357905e-07  6.1853535468323196e-11  -4.1622119304809253e-11  5.1403190960379320e-11  2.4770478767962223e-10  3.1291227662123378e-11  -7.2466428248431999e-12  -4.2103995723044016e-11  -2.9520712854686917e-10  -1.6477778300545953e-11  -5.9772563021001085e-11  -3.2959105957630409e-16  -2.9520656074327538e-10  1.6477665708886444e-11  -7.2461170912697502e-12  4.2104180397276719e-11  2.4770510728831842e-10  -3.1291395403950473e-11  -4.1622785727670235e-11  -5.1403690298903869e-11
4.7999999999999403e+00  1.3542817195098061e-05  4.2592885923237084e-10  -8.6751003471796397e-09  -5.8937070753037930e-09  -1.0491899600515747e-05  -4.8918559094729969e-10  2.0985968194547603e-16  -2.8452340496583493e-08  1.0491899600525059e-05  -4.8918588365771615e-10  8.6751003306305680e-09  -5.8937070484549637e-09  -1.3542817195691711e-05  4.2592895207235676e-10  -3.5622054782900414e-08  1.5752508646584246e-08  1.9220782329197198e-08  -8.2212187279891781e-11  4.4544535866132912e-08  -1.6753585087395115e-08  -4.4977998659789128e-08  -6.6659339787173472e-10  -6.5640530328258640e-09  1.8185925590544774e-16  -4.4977998018400957e-08  6.6659417511691346e-10  4.4544536018442585e-08  1.6753585434812140e-08  1.9220781848901565e-08  8.2212253802596231e-11  -3.5622053935394703e-08  -1.5752508485472584e-08  1.8661559359131749e-06  8.5111355316223917e-10  2.8391223138173300e-10  -6.3724194854512244e-10  -1.4474963671652127e-06  -6.6045019835678554e-10  2.6025409522256240e-16  -2.1713354981287151e-09  1.4474963667683633e-06  -6.6044941907795866e-10  -2.8391267814927778e-10  -6.3724198139121439e-10  -1.8661559360238074e-06  8.5111380638677053e-10  1.1815993483528466e-09  1.2045902100957951e-09  5.6271106876740248e-10  8.8127860660994449e-10  -7.7368839741387343e-10  -1.0767146941514856e-09  2.3724124060668028e-09  1.1064983641306659e-10  1.4153508741976403e-09  -7.2181500321762211e-17  2.3724125677507282e-09  -1.1065053811413182e-10  -7.7368788425990748e-10  1.0767138488886740e-09  5.6271149396049841e-10  -8.8127854261031234e-10  1.1815997253765550e-09  -1.2045896231994184e-09  4.4160047958612713e-07  2.1305676441375208e-10  5.2909887404231682e-11  -1.1525830798316296e-10  -3.4248792510954543e-07  -1.0513189800706841e-10  6.0455299067313914e-16  -3.6707419510523695e-10  3.4248792500545493e-07  -1.0513052469152035e-10  -5.2910598984827056e-11  -1.1525824716943040e-10  -4.4160047964536973e-07  2.1305699918961515e-10  1.6588474548304542e-10  2.0444237929551860e-10  1.5007718353738079e-09  1.4024387099868467e-10  -1.6028842552510566e-10  -1.7368802814402018e-10  -6.2779990278515498e-10  -3.2993066002464190e-11  1.5986974027949075e-10  -3.5454736178447426e-16  -6.2780053264074715e-10  3.2992301802426778e-11  -1.6028810865303259e-10  1.7368790722547419e-10  1.5007721095286473e-09  -1.4024373779007526e-10  1.6588549622937682e-10  -2.0444125810710946e-10  1.4194858415761067e-07  6.2023228702308624e-11  8.7159414789745824e-12  -3.0211667731677497e-11  -1.0991157418701834e-07  -2.3713122021727153e-11  7.7863433382155363e-16  -9.2420283760046599e-11  1.0991157387911572e-07  -2.3713611076194267e-11  -8.7159037358544334e-12  -3.0212090349201594e-11  -1.4194858499799777e-07  6.2023082683866962e-11  -8.6917838520273148e-12  5.1684298062957934e-11  2.2814327760893945e-10  3.1217459582101553e-11  -4.6746439961844297e-11  -4.2205004293997858e-11  -2.8565228002855631e-10  -1.6924225739723990e-11  -4.8101365983215052e-11  -7.7750413586721033e-17  -2.8565226850790733e-10  1.6924465755144300e-11  -4.6746821787530305e-11  4.2205706972479991e-11  2.2814383679372071e-10  -3.1217822345972381e-11  -8.6910085433607819e-12  -5.1683397989255886e-11
