NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500074e+01        2.429425e+01        
2                   8.696647e+00        8.338603e+00        
3                   3.306435e+00        3.153770e+00        
4                   1.296964e+00        1.234314e+00        
5                   5.148314e-01        4.894648e-01        
6                   2.053221e-01        1.951176e-01        
7                   8.203867e-02        7.795055e-02        
8                   3.280429e-02        3.117186e-02        
9                   1.312137e-02        1.247146e-02        
10                  5.249146e-03        4.991136e-03        
11                  2.100062e-03        1.997907e-03        
12                  8.402797e-04        7.998924e-04        
