NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.512896e+01        2.423916e+01        
2                   8.758634e+00        8.285255e+00        
3                   3.334849e+00        3.116526e+00        
4                   1.309848e+00        1.212429e+00        
5                   5.206286e-01        4.778154e-01        
6                   2.079107e-01        1.892963e-01        
7                   8.318781e-02        7.516503e-02        
