NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500079e+01        2.435301e+01        
2                   8.696701e+00        8.366499e+00        
3                   3.306466e+00        3.164285e+00        
4                   1.296979e+00        1.237979e+00        
5                   5.148386e-01        4.906680e-01        
6                   2.053261e-01        1.954850e-01        
7                   8.204232e-02        7.805003e-02        
8                   3.281057e-02        3.119223e-02        
9                   1.313579e-02        1.247172e-02        
10                  5.284445e-03        4.988048e-03        
11                  2.186363e-03        1.995384e-03        
12                  1.036780e-03        7.983646e-04        
