NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.628904e+01        2.279704e+01        
2                   9.322801e+00        7.253329e+00        
3                   3.595534e+00        2.501861e+00        
4                   1.429006e+00        8.782241e-01        
5                   5.745979e-01        3.068644e-01        
6                   2.321277e-01        1.056468e-01        
7                   9.396676e-02        3.560620e-02        
