NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500087e+01        2.429305e+01        
2                   8.696772e+00        8.337725e+00        
3                   3.306510e+00        3.153344e+00        
4                   1.297003e+00        1.234149e+00        
5                   5.148511e-01        4.894165e-01        
6                   2.053318e-01        1.951117e-01        
7                   8.204362e-02        7.795618e-02        
8                   3.280730e-02        3.117836e-02        
9                   1.312445e-02        1.247618e-02        
10                  5.254743e-03        4.994042e-03        
11                  2.113037e-03        1.999544e-03        
12                  8.717515e-04        8.007633e-04        
