t re12 im12 re18 im18 re24 im24
0 -0.000213907351399 8.01598569192e-06 2.63537033353e-05 5.13392667241e-06 -2.26071404136e-05 -4.06406103495e-08
1.44 -0.000259404248407 -4.01573538489e-05 -6.81181156366e-05 -5.06535137565e-07 -2.25222038106e-05 -8.79837754497e-08
2.88 0.000816233644694 0.00013706698698 -6.70119296831e-05 -8.43831763801e-07 -2.16894884914e-05 -1.10659728949e-07
4.32 0.00163634760036 0.00107889825788 -6.75624892384e-05 -5.20217074748e-06 -2.21683345157e-05 -8.44413171214e-08
5.76 0.000843168495941 0.00157951346567 -0.000124658944998 -2.04001542418e-05 -2.27326182365e-05 5.05025750555e-07
7.2 -0.000487346708948 0.000337975438933 0.000156482347888 -4.3918304875e-05 -2.14440283115e-05 1.34028466458e-06
8.64 -0.00353014642592 -0.000978562394595 0.000904964136834 7.76966980035e-05 -1.62435928785e-05 -1.81514360363e-06
10.08 -0.00688619755576 0.00281847224878 0.00143840155042 0.00132515294217 -8.78877886065e-05 -2.94959842955e-05
11.52 0.00758215601512 -0.00226786342613 -0.000220034403442 0.00169825939436 -8.47919618758e-05 2.76752660082e-05
12.96 0.00154474976258 -0.0021130514161 -0.000379927161981 0.000830229478073 -0.000157101806023 0.000251517515293
14.4 0.00519416357337 0.000742340023687 -0.00545970942193 -1.45395221042e-05 0.000563976991565 0.000631556775247
15.84 0.0119132141876 -0.0036764118374 -0.00575971086669 0.000696025681747 0.00135430688455 0.00154819564784
17.28 0.0205003496972 -0.000758831992387 0.00918693086125 -0.00380515876783 7.44325953861e-05 0.00110231947496
18.72 0.0076885588216 0.0100630997229 -0.00275447975889 -0.00235586820149 -0.000822036459671 0.000746631238865
20.16 -0.00376715744095 -0.00147838222156 0.00335086675496 -0.00214032206606 -0.00405820152269 0.000422096251434
21.6 0.0160444298088 -0.00097112200957 0.00896096606515 -0.00532209394363 -0.00607400781924 -0.000899972187231
23.04 0.00991529996903 0.00441577594126 0.0139496838331 -0.000759749425573 0.00907887865866 -0.00412681301503
24.48 -0.00471007605496 -0.00733451496063 -0.00318661209409 0.00933812174019 -0.00148860099142 -0.00208272122067
25.92 0.00890248425411 0.00305161791631 -0.0145177905917 -0.00307362003221 0.00269322218391 -0.00311604299681
27.36 0.0145251186884 0.00060538804281 0.0030090996544 0.000555546869313 0.00752468959562 -0.00409869840579
28.8 0.0127104717944 0.00339200267961 -0.00754521135936 0.00395538390073 0.012857614025 0.000723236031745
30 0.0169069165529 -0.00548603200449 -0.013944653539 -0.00166223777141 0.00178439275113 0.00646166232955
