t ham mom
0.01 0.0020455089032 2.8977517474e-05
0.11 0.0021429720723 0.00024764105354
0.21 0.0023496804949 0.0003826611644
0.31 0.0025999332501 0.00046696427638
0.41 0.0028116313194 0.00051628363955
0.51 0.0029311935096 0.00053858070406
0.61 0.0029357786847 0.00054009686179
0.71 0.0028428375927 0.0005256785588
0.81 0.0027088338524 0.00050096718325
0.91 0.0026047543604 0.0004769177605
1.01 0.0025614123262 0.00046696345262
1.11 0.0025481105251 0.00047547628768
1.21 0.0025337896528 0.00049324804238
1.31 0.0025352561482 0.00050716233077
1.41 0.0025807481929 0.00051052140118
1.51 0.0026619826987 0.00050313504137
1.61 0.0027422499366 0.00048855849617
1.71 0.0027927052576 0.0004715788048
1.81 0.0028077200178 0.00045644395857
1.91 0.0027966457123 0.00044692184342
2.01 0.0027716988826 0.00044618833179
2.11 0.002745702414 0.00045565393185
2.21 0.0027395843016 0.00047373519189
2.31 0.002783831772 0.00049721117531
2.41 0.0028958523624 0.00052369753313
2.51 0.0030537990547 0.00055124802527
2.61 0.0032095374698 0.00057690728231
2.71 0.0033211045338 0.00059744804751
2.81 0.0033647192378 0.0006105181011
2.91 0.003331209595 0.00061403907824
3.01 0.0032298174908 0.0006061884082
3.11 0.0031002282617 0.00058797156645
3.21 0.0030079637288 0.00056792804432
3.31 0.002990840356 0.00056135494147
3.41 0.0030116402933 0.00057590294395
3.51 0.0030222024784 0.00059998248561
3.61 0.0030390391698 0.00061603685008
3.71 0.0031005334562 0.00061545347869
3.81 0.0032051781937 0.00059893964027
3.91 0.0033178023377 0.00057286093034
4.01 0.0034020828735 0.00054535170896
4.11 0.0034401677106 0.0005223617226
4.21 0.0034344732485 0.00050619418308
4.31 0.0033988661118 0.00049688908954
4.41 0.0033508414721 0.00049412909192
4.51 0.0033112947225 0.00049763316949
4.61 0.0033066698179 0.00050716621277
4.71 0.00336137242 0.00052300869622
4.81 0.0034788878757 0.00054514314732
4.91 0.0036312722715 0.00057148834257
5.01 0.0037723892964 0.0005976338913
5.11 0.003859847932 0.00061841389896
5.21 0.0038675713886 0.000629245549
5.31 0.0037926054985 0.00062731307777
5.41 0.0036607159639 0.00061346489695
5.51 0.0035250622948 0.00059553475094
5.61 0.0034348153267 0.00058715098773
5.71 0.0033977522712 0.00059477680553
5.81 0.0034087814436 0.000607510557
5.91 0.0034896386735 0.00060923307884
6.01 0.00364783282 0.00059304656939
6.11 0.0038415633197 0.00056197631637
6.21 0.0040112891564 0.00052512339623
6.31 0.0041175427979 0.00049283400641
6.41 0.0041516090578 0.00047139454176
6.51 0.0041274151282 0.00046104041465
6.61 0.004067664108 0.00045830340038
6.71 0.0039951953299 0.00045976308284
6.81 0.003931636367 0.00046431753634
6.91 0.0038990766885 0.00047400786882
7.01 0.0039171281769 0.00049188435878
7.11 0.0039937695894 0.00051847094254
7.21 0.0041170739205 0.00055009464856
7.31 0.0042560721527 0.00058099596478
7.41 0.0043700953537 0.00060592029672
7.51 0.0044227383359 0.00062109576782
7.61 0.0043948745741 0.00062406715721
7.71 0.0042944626412 0.00061487677333
7.81 0.0041588576425 0.00059883448028
7.91 0.0040359684459 0.00058732001353
8.01 0.0039515451391 0.00058869511385
8.11 0.0039145638416 0.00059739483883
8.21 0.0039473056054 0.00059986612737
8.31 0.004063554238 0.00058813921739
8.41 0.0042325494835 0.00056423612011
8.51 0.0043955343057 0.00053647736224
8.61 0.0045063664358 0.00051227090014
8.71 0.00455140428 0.00049401803106
8.81 0.0045430269724 0.00048062274491
8.91 0.0045018185463 0.00047057129888
9.01 0.0044447714431 0.00046369519079
9.11 0.0043840253754 0.00046151967351
9.21 0.004331734527 0.00046617120213
9.31 0.0043030747779 0.00047945011952
9.41 0.0043127571375 0.00050234072172
9.51 0.0043653642218 0.00053373384123
9.61 0.0044486722859 0.00056950314192
9.71 0.0045376014481 0.00060298045841
9.81 0.0046045748761 0.00062713899817
9.91 0.0046277741643 0.0006375480558
10.01 0.0045982334667 0.00063400014775
10.11 0.0045244051832 0.00062067011939
10.21 0.0044288455184 0.00060477388619
10.31 0.0043373703214 0.00059296528308
10.41 0.004273102089 0.00058693484989
10.51 0.0042573095483 0.00058327848938
10.61 0.0043031374809 0.00057717665651
10.71 0.004403483257 0.00056491488869
10.81 0.0045264744646 0.00054540212258
10.91 0.0046293927019 0.00052048747663
11.01 0.0046824390799 0.00049338468217
11.11 0.0046804132897 0.00046687715118
11.21 0.0046356589166 0.00044290978678
11.31 0.0045644051239 0.00042300433273
11.41 0.0044796241363 0.00040936503734
11.51 0.0043929800987 0.00040596297356
11.61 0.0043197546342 0.0004168113729
11.71 0.0042811436896 0.00044231124445
11.81 0.0042968870521 0.00047878044618
11.91 0.0043691627693 0.00052077370347
12.01 0.0044754022484 0.00056136996741
12.11 0.0045783923193 0.00059350511318
12.21 0.0046418602418 0.00061303452427
12.31 0.0046423940218 0.00061954905587
12.41 0.0045769790117 0.00061503271962
12.51 0.0044639097413 0.00060304334095
12.61 0.0043350563843 0.00058823392967
12.71 0.0042239764582 0.00057502969766
12.81 0.0041581838557 0.00056567903401
12.91 0.0041555114125 0.00055826969057
13.01 0.0042170401404 0.00054844957335
13.11 0.0043217373584 0.0005330099169
13.21 0.0044362815343 0.00051180157177
13.31 0.0045302175241 0.00048674666811
13.41 0.0045823269658 0.00046054339529
13.51 0.0045842954087 0.00043542503961
13.61 0.0045402510165 0.00041311215924
13.71 0.0044625202469 0.00039656013728
13.81 0.0043666078778 0.00039039124224
13.91 0.0042706345862 0.00039830287707
14.01 0.0041991138964 0.00041931607658
14.11 0.0041816744879 0.00044829642736
14.21 0.0042378041846 0.0004795743424
14.31 0.0043608535352 0.00050779647568
14.41 0.0045165620562 0.00052995335084
14.51 0.004653520959 0.00054791075972
14.61 0.0047218828331 0.00056476640213
14.71 0.0046936285843 0.00057975440861
14.81 0.0045736166689 0.00058909524957
14.91 0.0043973752672 0.00059096612834
15.01 0.0042168541783 0.00058804283792
15.11 0.0040783212824 0.00058546081631
15.21 0.0040061699925 0.00058570502287
15.31 0.0040067462728 0.0005852239172
15.41 0.0040746571322 0.00057750568818
15.51 0.0041857147112 0.00055889383174
15.61 0.0043007620317 0.00053031171912
15.71 0.0043841822623 0.00049549099501
15.81 0.0044169627889 0.00045955599593
15.91 0.0043975192181 0.00042745962188
16.01 0.0043355869263 0.00040412172952
16.11 0.0042452377483 0.00039460485586
16.21 0.004142253325 0.00040219405916
16.31 0.0040479777612 0.00042441325413
16.41 0.0039948147357 0.00045338831548
16.51 0.0040178092303 0.0004827397448
16.61 0.0041317848284 0.00051134174958
16.71 0.0043090390095 0.00054148530708
16.81 0.0044818129915 0.00057515909776
16.91 0.0045780754238 0.00060955025969
17.01 0.0045591211993 0.00063775115686
17.11 0.0044315392145 0.00065410314679
17.21 0.0042380985331 0.00065716688196
17.31 0.0040385249608 0.00064961526599
17.41 0.0038852748842 0.00063713273651
17.51 0.003802130419 0.00062508182099
17.61 0.0037877966188 0.00061474902254
17.71 0.0038338166891 0.00060328420742
17.81 0.0039263962465 0.00058681456931
17.91 0.0040406205688 0.00056260862333
18.01 0.0041437373939 0.00053076449758
18.11 0.0042052772345 0.00049526145991
18.21 0.0042099356384 0.00046177586657
18.31 0.004162631612 0.00043529987197
18.41 0.0040813679826 0.00041970449578
18.51 0.0039861898387 0.00041819114591
18.61 0.0038956098279 0.00043157959519
18.71 0.003833003265 0.00045664683737
18.81 0.0038305290853 0.00048847752455
18.91 0.0039135807796 0.00052390133659
19.01 0.004069916679 0.00056223901347
19.11 0.0042417053825 0.00060211393833
19.21 0.0043586176577 0.00063934078736
19.31 0.0043758500512 0.00066870353621
19.41 0.00428781794 0.00068619688138
19.51 0.0041229620081 0.00069004697144
19.61 0.003932485916 0.00068168221491
19.71 0.0037712145554 0.00066670968952
19.81 0.0036676138693 0.00065255961523
19.91 0.0036168953768 0.00064234567152
20.01 0.0036162976433 0.0006327124525
20.11 0.0036726916673 0.0006197621686
20.21 0.003771836649 0.00060097223677
20.31 0.0038810966171 0.00057447615203
20.41 0.0039712796878 0.00054154552645
20.51 0.0040229745666 0.00050797174701
20.61 0.0040278162996 0.00048067764534
20.71 0.0039898182214 0.00046407970642
20.81 0.00392210444 0.00045967607985
20.91 0.0038427747845 0.00046691288987
21.01 0.0037739043291 0.00048448948662
21.11 0.0037404758842 0.00051152978319
21.21 0.003763388999 0.00054723851072
21.31 0.003845884433 0.00058895727887
21.41 0.003964611579 0.0006319416492
21.51 0.0040781127236 0.00067064559033
21.61 0.0041460004936 0.00070026825509
21.71 0.0041448807166 0.00071751048321
21.81 0.0040749487274 0.00072039189492
21.91 0.0039630194208 0.00070945434276
22.01 0.0038537345746 0.00069011974756
22.11 0.0037787111576 0.00067190101774
22.21 0.0037347741029 0.00066040849577
22.31 0.0037184422503 0.00065184531
22.41 0.0037517553062 0.00064015196974
22.51 0.0038419225769 0.00062168938132
22.61 0.0039592512372 0.00059358907518
22.71 0.0040617517368 0.00055723833083
22.81 0.0041176886308 0.0005206550465
22.91 0.0041162155985 0.00049220318819
23.01 0.0040666542936 0.00047513175449
23.11 0.0039884052077 0.00046904009526
23.21 0.0039013507196 0.00047305502124
23.31 0.0038238363834 0.00048704121527
23.41 0.0037760796623 0.00051114510901
23.51 0.0037797774799 0.00054483737317
23.61 0.0038476289961 0.00058562004164
23.71 0.0039692773363 0.00062871101519
23.81 0.0041096452953 0.00066855025013
23.91 0.0042236188801 0.00070057253029
24.01 0.0042738053379 0.00072118652458
24.11 0.004244706982 0.00072783548613
24.21 0.0041500012847 0.00071985503061
24.31 0.0040326034137 0.00070141448069
24.41 0.0039398649805 0.00068297216525
24.51 0.0038848888877 0.00067362238915
24.61 0.0038594173998 0.00067036278472
24.71 0.0038805657578 0.00066243319024
24.81 0.0039691621314 0.00064339454013
24.91 0.0041059220464 0.00061355359154
25.01 0.0042443415659 0.00057747921516
25.11 0.0043427449461 0.00054275447086
25.21 0.0043815369949 0.00051658046565
25.31 0.0043651188743 0.00050163078993
25.41 0.004312191588 0.00049636901684
25.51 0.0042438518488 0.00049825061554
25.61 0.0041771676239 0.00050619769245
25.71 0.0041260343876 0.00052077215824
25.81 0.0041042258494 0.0005428590934
25.91 0.0041240700296 0.0005729098801
26.01 0.0041887294164 0.00060970424442
26.11 0.0042855671363 0.00064938469463
26.21 0.0043880347048 0.00068598873816
26.31 0.0044652838402 0.00071349850313
26.41 0.0044934158415 0.00072731042536
26.51 0.0044659738135 0.00072563445195
26.61 0.0044009846767 0.00071071902842
26.71 0.0043345115518 0.00069037405602
26.81 0.0042938983986 0.00067572356515
26.91 0.004280634657 0.00067196324165
27.01 0.0042930396118 0.00067289134919
27.11 0.0043447037051 0.00066799033683
27.21 0.0044415315988 0.00065205009462
27.31 0.0045576816205 0.00062783708469
27.41 0.0046519799213 0.0006018821954
27.51 0.0047010531575 0.00057881062215
27.61 0.0047057125855 0.00056004705401
27.71 0.0046778971377 0.00054567983616
27.81 0.0046306316371 0.0005358581152
27.91 0.0045758927439 0.00053082321417
28.01 0.0045264717653 0.00053214498731
28.11 0.0044982509593 0.00054314196659
28.21 0.0045088801695 0.00056680624656
28.31 0.0045695976449 0.0006023247314
28.41 0.0046748572232 0.0006445458977
28.51 0.0048005577999 0.00068608047896
28.61 0.0049138190122 0.00071981277453
28.71 0.0049854548962 0.00074094706732
28.81 0.0049991861779 0.00074776287071
28.91 0.0049573394618 0.00074154460825
29.01 0.0048813310521 0.000726062986
29.11 0.0048024361209 0.00070707513881
29.21 0.0047474522206 0.00068963572336
29.31 0.004733549403 0.00067535568217
29.41 0.0047693692161 0.00066354358026
29.51 0.0048513561623 0.00065425390487
29.61 0.0049620593008 0.00064816851702
29.71 0.0050779188923 0.00064517218839
29.81 0.0051808735637 0.00064361526895
29.91 0.0052618073112 0.00064167814003
30 0.0053128407715 0.00063851844245
