s x_pos t kk_over_kt2 abs_H
6.1000 62.95097 9.60442 1.011634e-04 2.023779e-05
6.1500 62.99627 9.63593 4.170466e-05 8.228972e-06
6.2000 63.04137 9.66724 1.188801e-05 2.314749e-06
6.2500 63.08628 9.69834 1.620986e-04 3.115872e-05
6.3000 63.13100 9.72925 1.224149e-04 2.323413e-05
6.3500 63.17554 9.75995 9.971797e-05 1.869124e-05
6.4000 63.21990 9.79047 8.192890e-05 1.516878e-05
6.4500 63.26410 9.82081 9.871435e-07 1.805908e-07
6.5000 63.30815 9.85097 1.786794e-04 3.231755e-05
6.5500 63.35205 9.88095 2.139555e-04 3.826604e-05
6.6000 63.39582 9.91077 2.439218e-04 4.314624e-05
6.6500 63.43946 9.94043 2.708956e-04 4.739896e-05
6.7000 63.48298 9.96993 2.967296e-04 5.136553e-05
6.7500 63.52638 9.99928 5.404307e-04 9.261286e-05
6.8000 63.56969 10.02848 7.407203e-04 1.257209e-04
6.8500 63.61291 10.05754 8.105706e-04 1.362794e-04
6.9000 63.65605 10.08647 3.737263e-04 6.232929e-05
6.9500 63.69918 10.11532 1.371987e-03 2.279950e-04
7.0000 63.74233 10.14412 1.328790e-03 2.200266e-04
7.0500 63.78551 10.17287 1.136909e-03 1.877118e-04
7.1000 63.82873 10.20158 1.059574e-03 1.744556e-04
7.1500 63.87200 10.23026 9.931933e-04 1.630596e-04
7.2000 63.91530 10.25889 8.905437e-04 1.457796e-04
7.2500 63.95864 10.28747 7.481909e-04 1.221098e-04
7.3000 64.00202 10.31602 5.959203e-04 9.696330e-05
7.3500 64.04544 10.34453 6.362807e-04 1.032930e-04
7.4000 64.08891 10.37300 4.566814e-04 7.395904e-05
7.4500 64.13242 10.40144 2.560504e-04 4.136279e-05
7.5000 64.17597 10.42984 1.443033e-05 2.324962e-06
7.5500 64.21955 10.45820 2.326300e-04 3.737775e-05
7.6000 64.26317 10.48653 3.733604e-04 5.983268e-05
7.6500 64.30683 10.51482 2.904357e-04 4.644333e-05
7.7000 64.35052 10.54308 6.003364e-04 9.577915e-05
7.7500 64.39424 10.57130 9.136036e-04 1.454042e-04
7.8000 64.43800 10.59950 1.244052e-03 1.974887e-04
7.8500 64.48177 10.62765 1.575133e-03 2.493727e-04
7.9000 64.52556 10.65577 1.453098e-03 2.295206e-04
7.9500 64.56938 10.68386 1.402835e-03 2.211306e-04
8.0000 64.61321 10.71192 1.549858e-03 2.438061e-04
8.0500 64.65707 10.73995 1.860517e-03 2.920444e-04
8.1000 64.70093 10.76795 2.166821e-03 3.393550e-04
8.1500 64.74480 10.79591 2.464731e-03 3.850986e-04
8.2000 64.78868 10.82387 1.876179e-03 2.936371e-04
8.2500 64.83260 10.85186 2.284231e-03 3.582910e-04
8.3000 64.87656 10.87988 1.931264e-03 3.035394e-04
8.3500 64.92057 10.90793 1.587455e-03 2.499604e-04
8.4000 64.96462 10.93600 1.251820e-03 1.974365e-04
8.4500 65.00871 10.96409 1.071794e-03 1.693209e-04
8.5000 65.05283 10.99221 1.349893e-03 2.137214e-04
8.5500 65.09699 11.02036 1.034345e-03 1.640942e-04
8.6000 65.14119 11.04854 7.253446e-04 1.152870e-04
8.6500 65.18543 11.07674 4.171162e-04 6.640975e-05
8.7000 65.22969 11.10497 1.129276e-04 1.800719e-05
8.7500 65.27398 11.13321 2.321982e-04 3.709517e-05
8.8000 65.31830 11.16149 2.960233e-04 4.739285e-05
8.8500 65.36265 11.18980 6.973310e-05 1.118685e-05
8.9000 65.40704 11.21814 1.400125e-04 2.250479e-05
8.9500 65.45145 11.24650 3.637511e-04 5.857457e-05
9.0000 65.49589 11.27489 5.927304e-04 9.561262e-05
9.0500 65.54035 11.30330 5.718133e-05 9.246103e-06
9.1000 65.58484 11.33175 2.118990e-04 3.434583e-05
9.1500 65.62936 11.36024 4.485401e-04 7.286969e-05
9.2000 65.67391 11.38875 6.957633e-04 1.132835e-04
9.2500 65.71849 11.41730 9.518933e-04 1.553147e-04
9.3000 65.76308 11.44588 9.417021e-04 1.539983e-04
9.3500 65.80770 11.47449 5.492578e-04 9.006572e-05
9.4000 65.85235 11.50315 8.049525e-04 1.323416e-04
9.4500 65.89702 11.53184 2.573379e-04 4.245091e-05
9.5000 65.94172 11.56059 6.462815e-04 1.070797e-04
9.5500 65.98646 11.58940 4.911196e-04 8.171969e-05
9.6000 66.03123 11.61828 9.524479e-04 1.592181e-04
9.6500 66.07603 11.64722 9.769020e-04 1.640727e-04
9.7000 66.12086 11.67624 7.387429e-04 1.246366e-04
9.7500 66.16573 11.70531 5.097369e-04 8.637680e-05
9.8000 66.21061 11.73445 2.916320e-04 4.962686e-05
9.8500 66.25551 11.76365 1.681298e-04 2.872891e-05
9.9000 66.30043 11.79291 5.863427e-04 1.006406e-04
9.9500 66.34537 11.82224 3.689453e-04 6.360143e-05
10.0000 66.39032 11.85163 1.588237e-04 2.749407e-05
10.0500 66.43527 11.88108 3.070776e-05 5.337361e-06
10.1000 66.48024 11.91059 1.385571e-04 2.417763e-05
10.1500 66.52521 11.94016 1.143828e-04 2.004181e-05
10.2000 66.57018 11.96979 2.958394e-04 5.205800e-05
10.2500 66.61516 11.99948 2.443396e-04 4.317687e-05
10.3000 66.66015 12.02923 2.009089e-04 3.564946e-05
10.3500 66.70513 12.05905 1.707797e-04 3.042680e-05
10.4000 66.75012 12.08893 1.433177e-04 2.563634e-05
10.4500 66.79512 12.11887 4.575803e-04 8.220569e-05
10.5000 66.84011 12.14887 4.200687e-04 7.578948e-05
10.5500 66.88511 12.17894 3.839607e-04 6.956722e-05
10.6000 66.93012 12.20907 3.576979e-04 6.507860e-05
10.6500 66.97512 12.23926 3.355642e-04 6.130216e-05
10.7000 67.02014 12.26951 4.453451e-04 8.169583e-05
10.7500 67.06516 12.29983 3.350911e-04 6.173776e-05
10.8000 67.11020 12.33021 3.227942e-04 5.973253e-05
10.8500 67.15525 12.36067 3.128766e-04 5.815233e-05
10.9000 67.20031 12.39118 3.050467e-04 5.694829e-05
10.9500 67.24538 12.42177 3.025304e-04 5.673020e-05
11.0000 67.29046 12.45243 1.283081e-04 2.417331e-05
11.0500 67.33556 12.48315 9.939128e-05 1.881480e-05
11.1000 67.38067 12.51396 1.938524e-06 3.687561e-07
11.1500 67.42580 12.54484 2.625555e-05 5.019070e-06
11.2000 67.47095 12.57579 5.995288e-05 1.151763e-05
11.2500 67.51611 12.60682 3.190050e-06 6.159612e-07
11.3000 67.56129 12.63793 1.292486e-04 2.508786e-05
11.3500 67.60649 12.66913 2.938265e-05 5.733550e-06
11.4000 67.65170 12.70041 8.717404e-05 1.710115e-05
11.4500 67.69694 12.73177 2.409289e-04 4.751604e-05
11.5000 67.74219 12.76321 4.133804e-04 8.196339e-05
11.5500 67.78746 12.79474 1.697530e-04 3.384551e-05
11.6000 67.83275 12.82636 2.685139e-04 5.383827e-05
11.6500 67.87805 12.85807 4.718191e-04 9.513650e-05
11.7000 67.92337 12.88986 7.095480e-04 1.438814e-04
11.7500 67.96870 12.92175 9.782422e-04 1.994904e-04
11.8000 68.01404 12.95373 1.018885e-03 2.089733e-04
11.8500 68.05939 12.98581 7.888700e-04 1.630698e-04
