batch best coverage
0 690.107303 4.6875
1 690.107303 10.9375
2 704.048001 12.5000
3 741.715405 14.0625
4 741.715405 14.0625
5 798.003451 14.0625
6 798.003451 14.0625
7 798.003451 14.0625
8 798.003451 14.0625
9 798.003451 14.0625
10 825.194203 14.0625
11 825.194203 14.0625
12 825.194203 14.0625
13 825.194203 14.0625
14 825.194203 14.0625
15 825.194203 14.0625
16 825.194203 14.0625
17 825.194203 14.0625
18 825.194203 14.0625
19 825.194203 14.0625
20 825.194203 14.0625
21 825.194203 14.0625
22 825.194203 14.0625
23 825.194203 14.0625
24 825.194203 14.0625
