t ham mom
22.8100 4.695197e-03 8.076668e-04
22.9600 4.704714e-03 8.146838e-04
23.1100 4.712870e-03 8.215184e-04
23.2600 4.719525e-03 8.281790e-04
23.4100 4.724546e-03 8.346774e-04
23.5600 4.727800e-03 8.410060e-04
23.7100 4.729182e-03 8.471607e-04
23.8600 4.728613e-03 8.531301e-04
24.0100 4.726048e-03 8.589088e-04
24.1600 4.721466e-03 8.644851e-04
24.3100 4.714855e-03 8.698466e-04
24.4600 4.706220e-03 8.749855e-04
24.6100 4.695588e-03 8.798877e-04
24.7600 4.682998e-03 8.845466e-04
24.9100 4.668494e-03 8.889389e-04
25.0600 4.652123e-03 8.930516e-04
25.2100 4.633922e-03 8.968766e-04
25.3600 4.613927e-03 9.003951e-04
25.5100 4.592162e-03 9.035936e-04
25.6600 4.568635e-03 9.064579e-04
25.8100 4.543343e-03 9.089694e-04
25.9600 4.516269e-03 9.111094e-04
26.1100 4.487383e-03 9.128617e-04
26.2600 4.456647e-03 9.142059e-04
26.4100 4.424019e-03 9.151175e-04
26.5600 4.389457e-03 9.155800e-04
26.7100 4.352924e-03 9.155802e-04
26.8600 4.314390e-03 9.151015e-04
27.0100 4.273843e-03 9.141312e-04
27.1600 4.231293e-03 9.126573e-04
27.3100 4.186773e-03 9.106684e-04
27.4600 4.140343e-03 9.081562e-04
27.6100 4.092088e-03 9.051094e-04
27.7600 4.042126e-03 9.015224e-04
27.9100 3.990611e-03 8.973876e-04
28.0600 3.937727e-03 8.927017e-04
28.2100 3.883689e-03 8.874634e-04
28.3600 3.828735e-03 8.816756e-04
28.5100 3.773121e-03 8.753580e-04
28.6600 3.717101e-03 8.685261e-04
28.8100 3.660924e-03 8.612047e-04
28.9600 3.604819e-03 8.534234e-04
29.1100 3.548979e-03 8.452128e-04
29.2600 3.493581e-03 8.365976e-04
29.4100 3.438795e-03 8.275706e-04
29.5600 3.384818e-03 8.180904e-04
29.7100 3.331909e-03 8.080882e-04
29.8600 3.280395e-03 7.974688e-04
30.0000 3.233898e-03 7.869382e-04
