NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.501573e+01        2.439132e+01        
2                   8.704006e+00        8.391780e+00        
3                   3.309860e+00        3.178353e+00        
4                   1.298536e+00        1.245290e+00        
5                   5.155452e-01        4.943001e-01        
6                   2.056432e-01        1.972293e-01        
7                   8.218328e-02        7.886638e-02        
8                   3.287281e-02        3.156665e-02        
9                   1.316342e-02        1.264075e-02        
10                  5.297522e-03        5.063384e-03        
11                  2.194598e-03        2.028615e-03        
12                  1.045605e-03        8.128986e-04        
