NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.501909e+01        2.437636e+01        
2                   8.706258e+00        8.387581e+00        
3                   3.311059e+00        3.178576e+00        
4                   1.299142e+00        1.246416e+00        
5                   5.158467e-01        4.952499e-01        
6                   2.057921e-01        1.978384e-01        
7                   8.225576e-02        7.921226e-02        
