NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500099e+01        2.435069e+01        
2                   8.696883e+00        8.365031e+00        
3                   3.306574e+00        3.163563e+00        
4                   1.297036e+00        1.237673e+00        
5                   5.148678e-01        4.905551e-01        
6                   2.053410e-01        1.954508e-01        
7                   8.205096e-02        7.804370e-02        
8                   3.281823e-02        3.119384e-02        
9                   1.314822e-02        1.247451e-02        
10                  5.312098e-03        4.990213e-03        
11                  2.250846e-03        1.996749e-03        
12                  1.165840e-03        7.991409e-04        
