NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.494272e+01        2.446641e+01        
2                   8.668217e+00        8.466479e+00        
3                   3.293201e+00        3.231983e+00        
4                   1.290884e+00        1.277403e+00        
5                   5.120694e-01        5.116455e-01        
6                   2.040814e-01        2.060081e-01        
7                   8.148726e-02        8.311791e-02        
8                   3.256191e-02        3.356204e-02        
9                   1.301684e-02        1.355574e-02        
10                  5.207306e-03        5.475569e-03        
11                  2.090851e-03        2.211717e-03        
12                  8.581272e-04        8.933234e-04        
