   0.0050000    8.4910448593e-03    3.1125470244e-09
   0.0100000    8.4910449901e-03    8.3407920030e-09
   0.0150000    8.4910452309e-03    2.7812102771e-08
   0.0200000    8.4910455990e-03    6.9242308927e-08
   0.0250000    8.4910461172e-03    1.3938206737e-07
   0.0300000    8.4910468026e-03    2.4471073289e-07
   0.0350000    8.4910474461e-03    3.9141139206e-07
   0.0400000    8.4910415290e-03    5.8500975369e-07
   0.0450000    8.4910177819e-03    8.3043759851e-07
   0.0500000    8.4909773106e-03    1.1323827295e-06
   0.0550000    8.4909276500e-03    1.4950726641e-06
   0.0600000    8.4908762215e-03    1.9222946772e-06
   0.0650000    8.4908278046e-03    2.4174217418e-06
   0.0700000    8.4907843075e-03    2.9834201280e-06
   0.0750000    8.4907457278e-03    3.6228690980e-06
   0.0800000    8.4907114274e-03    4.3379684694e-06
   0.0850000    8.4906810545e-03    5.1305585484e-06
   0.0900000    8.4906548467e-03    6.0021316366e-06
   0.0950000    8.4906334390e-03    6.9538519340e-06
   0.1000000    8.4906175079e-03    7.9865651430e-06
   0.1050000    8.4906075149e-03    9.1008121056e-06
   0.1100000    8.4906036380e-03    1.0296842141e-05
   0.1150000    8.4906058303e-03    1.1574628653e-05
   0.1200000    8.4906139232e-03    1.2933884423e-05
   0.1250000    8.4906277166e-03    1.4374075286e-05
   0.1300000    8.4906470478e-03    1.5894434738e-05
   0.1350000    8.4906718363e-03    1.7493977320e-05
   0.1400000    8.4907021072e-03    1.9171513043e-05
   0.1450000    8.4907379848e-03    2.0925660658e-05
   0.1500000    8.4907796622e-03    2.2754861723e-05
   0.1550000    8.4908273539e-03    2.4657393695e-05
   0.1600000    8.4908812489e-03    2.6631383693e-05
   0.1650000    8.4909414768e-03    2.8674821218e-05
   0.1700000    8.4910080950e-03    3.0785571506e-05
   0.1750000    8.4910810952e-03    3.2961387793e-05
   0.1800000    8.4911604221e-03    3.5199924225e-05
   0.1850000    8.4912459969e-03    3.7498747737e-05
   0.1900000    8.4913377390e-03    3.9855350234e-05
   0.1950000    8.4914355821e-03    4.2267159799e-05
   0.2000000    8.4915394841e-03    4.4731551871e-05
   0.2050000    8.4916494261e-03    4.7245860018e-05
   0.2100000    8.4917653985e-03    4.9807386247e-05
   0.2150000    8.4918873741e-03    5.2413411349e-05
   0.2200000    8.4920152790e-03    5.5061204239e-05
   0.2250000    8.4921489796e-03    5.7748031689e-05
   0.2300000    8.4922883058e-03    6.0471166700e-05
   0.2350000    8.4924331147e-03    6.3227897432e-05
   0.2400000    8.4925833744e-03    6.6015534600e-05
   0.2450000    8.4927392157e-03    6.8831419453e-05
   0.2500000    8.4929008995e-03    7.1672930165e-05
   0.2550000    8.4930686737e-03    7.4537488832e-05
   0.2600000    8.4932425520e-03    7.7422566976e-05
   0.2650000    8.4934221048e-03    8.0325691656e-05
   0.2700000    8.4936063765e-03    8.3244450184e-05
   0.2750000    8.4937939981e-03    8.6176495315e-05
   0.2800000    8.4939834842e-03    8.9119549019e-05
   0.2850000    8.4941736043e-03    9.2071406541e-05
   0.2900000    8.4943636773e-03    9.5029939063e-05
   0.2950000    8.4945536697e-03    9.7993096710e-05
   0.3000000    8.4947440698e-03    1.0095891034e-04
   0.3050000    8.4949356125e-03    1.0392549376e-04
   0.3100000    8.4951289832e-03    1.0689104480e-04
   0.3150000    8.4953246173e-03    1.0985384674e-04
   0.3200000    8.4955226481e-03    1.1281226869e-04
   0.3250000    8.4957229873e-03    1.1576476607e-04
   0.3300000    8.4959254743e-03    1.1870988019e-04
   0.3350000    8.4961300202e-03    1.2164623792e-04
   0.3400000    8.4963366778e-03    1.2457255046e-04
   0.3450000    8.4965455933e-03    1.2748761241e-04
   0.3500000    8.4967568448e-03    1.3039030009e-04
   0.3550000    8.4969702394e-03    1.3327957006e-04
   0.3600000    8.4971851965e-03    1.3615445699e-04
   0.3650000    8.4974008499e-03    1.3901407170e-04
   0.3700000    8.4976164105e-03    1.4185759860e-04
   0.3750000    8.4978316782e-03    1.4468429311e-04
   0.3800000    8.4980474661e-03    1.4749347889e-04
   0.3850000    8.4982656822e-03    1.5028454503e-04
   0.3900000    8.4984889544e-03    1.5305694317e-04
   0.3950000    8.4987199115e-03    1.5581018455e-04
   0.4000000    8.4989604150e-03    1.5854383703e-04
   0.4050000    8.4992110727e-03    1.6125752187e-04
   0.4100000    8.4994712179e-03    1.6395091056e-04
   0.4150000    8.4997393096e-03    1.6662372152e-04
