# time  Re(R=12)  Im(R=12)  Re(R=16)  Im(R=16)  Re(R=20)  Im(R=20)  Re(R=24)  Im(R=24)
0.0000000000000000e+00  -7.3358119642517484e-12  1.0959590675668100e-16  -5.7483772793430155e-13  -1.8144378819741867e-16  -1.2117674346369618e-13  5.3004745150870814e-17  -5.2415271969050114e-14  -1.6131305162528827e-16
5.0000000000000001e-03  -7.4396772333521776e-12  8.1049443269996795e-17  -5.9150200845123384e-13  1.9310307456924069e-16  -1.2451582183538991e-13  -1.0953909056919967e-16  -5.2711225593815448e-14  1.7300543511471647e-17
1.0000000000000000e-02  -7.5477101894349896e-12  6.6495254234871149e-17  -5.9926814199552535e-13  -1.4928392059783603e-16  -1.3056862028654565e-13  1.6514444185878163e-16  -4.9812176128218369e-14  2.2982954055689948e-16
1.4999999999999999e-02  -7.6559873282154502e-12  -5.4923541013201790e-17  -6.1013730993026278e-13  -1.2037530154661614e-16  -1.3655216531884467e-13  2.3234155085785563e-16  -5.2779775010819195e-14  -4.8635595601111509e-17
2.0000000000000000e-02  -7.7650571907965745e-12  -8.5337082616820543e-17  -6.1381080768656720e-13  -1.3291726251715780e-16  -1.3343501262774734e-13  4.2230617616193527e-17  -5.1366243434278027e-14  4.7933820082446273e-16
2.5000000000000001e-02  -7.8761551742211261e-12  7.2726135473374765e-17  -6.2706352271868794e-13  -8.5218427802767164e-17  -1.3690945691488548e-13  -2.2775222132053955e-16  -5.4692860974895405e-14  -3.4934884861051584e-16
2.9999999999999999e-02  -7.9802246351542486e-12  -6.2392576040768690e-17  -6.3254111578867189e-13  3.6860717216936079e-16  -1.3767837798139354e-13  -1.0365810153777025e-16  -5.4356048935685142e-14  8.6002173104727848e-17
3.5000000000000003e-02  -8.0981480986049893e-12  1.5815898231150849e-16  -6.4483663531502017e-13  2.4058217449839314e-16  -1.4247354421981362e-13  -3.3373483635309743e-16  -5.3161142231049282e-14  3.0085617646091658e-16
4.0000000000000001e-02  -8.2068793406016546e-12  1.0242108041319716e-16  -6.5308989109789067e-13  -3.8530073609566413e-16  -1.3522005070727258e-13  3.5590821741161991e-17  -5.3188234422622765e-14  -2.0175084029834110e-16
4.4999999999999998e-02  -8.3134276992031726e-12  2.3977466180037464e-16  -6.6913914214273619e-13  -2.7573006846633364e-16  -1.3921046810589195e-13  -3.7261161046775760e-16  -5.4830130606250593e-14  -1.9205628431486907e-16
