NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.461202e+01        2.480045e+01        
2                   8.506933e+00        8.696548e+00        
3                   3.218417e+00        3.365226e+00        
4                   1.256651e+00        1.348410e+00        
5                   4.965746e-01        5.474434e-01        
6                   1.971468e-01        2.233455e-01        
7                   7.841956e-02        9.126737e-02        
8                   3.122747e-02        3.730665e-02        
9                   1.246710e-02        1.524632e-02        
10                  5.048151e-03        6.228255e-03        
11                  2.208826e-03        2.543083e-03        
12                  1.269278e-03        1.037860e-03        
