NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500108e+01        2.429089e+01        
2                   8.696966e+00        8.336417e+00        
3                   3.306624e+00        3.152741e+00        
4                   1.297064e+00        1.233920e+00        
5                   5.148819e-01        4.893492e-01        
6                   2.053471e-01        1.951029e-01        
7                   8.205122e-02        7.796322e-02        
8                   3.281145e-02        3.118678e-02        
9                   1.312773e-02        1.248234e-02        
10                  5.259558e-03        4.997841e-03        
11                  2.123428e-03        2.001684e-03        
12                  8.959495e-04        8.019020e-04        
