NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.468725e+01        2.469221e+01        
2                   8.543610e+00        8.620242e+00        
3                   3.235436e+00        3.320421e+00        
4                   1.264445e+00        1.324324e+00        
5                   5.001009e-01        5.352270e-01        
6                   1.987228e-01        2.174027e-01        
7                   7.911413e-02        8.846427e-02        
8                   3.152515e-02        3.601506e-02        
9                   1.257966e-02        1.466185e-02        
10                  5.055029e-03        5.967521e-03        
11                  2.115464e-03        2.428102e-03        
12                  1.061374e-03        9.876341e-04        
