NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500075e+01        2.429425e+01        
2                   8.696645e+00        8.338620e+00        
3                   3.306432e+00        3.153789e+00        
4                   1.296961e+00        1.234329e+00        
5                   5.148295e-01        4.894750e-01        
6                   2.053210e-01        1.951238e-01        
7                   8.203825e-02        7.795403e-02        
8                   3.280451e-02        3.117372e-02        
9                   1.312262e-02        1.247242e-02        
10                  5.252603e-03        4.991615e-03        
11                  2.108859e-03        1.998141e-03        
12                  8.621021e-04        8.000045e-04        
13                  3.876903e-04        3.203570e-04        
14                  2.353142e-04        1.283066e-04        
15                  2.003900e-04        5.139676e-05        
16                  1.941658e-04        2.059177e-05        
