NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.500124e+01        2.428960e+01        
2                   8.697099e+00        8.335643e+00        
3                   3.306701e+00        3.152393e+00        
4                   1.297104e+00        1.233794e+00        
5                   5.149021e-01        4.893168e-01        
6                   2.053571e-01        1.951024e-01        
7                   8.205631e-02        7.797026e-02        
8                   3.281456e-02        3.119336e-02        
9                   1.313091e-02        1.248683e-02        
10                  5.265355e-03        5.000518e-03        
11                  2.136757e-03        2.003163e-03        
12                  9.266608e-04        8.026789e-04        
