NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.507605e+01        2.429536e+01        
2                   8.733315e+00        8.325039e+00        
3                   3.323425e+00        3.140152e+00        
4                   1.304739e+00        1.225085e+00        
5                   5.183508e-01        4.841447e-01        
6                   2.068974e-01        1.923115e-01        
7                   8.273676e-02        7.655068e-02        
8                   3.311132e-02        3.049947e-02        
9                   1.325667e-02        1.215716e-02        
10                  5.311649e-03        4.847183e-03        
11                  2.136893e-03        1.933007e-03        
12                  8.805017e-04        7.709989e-04        
