NL_iteration       Ham error [%]       Mom error [%]
0                   1.000000e+02        1.000000e+02        
1                   2.629186e+01        2.281676e+01        
2                   9.324201e+00        7.259111e+00        
3                   3.596193e+00        2.502622e+00        
4                   1.429314e+00        8.777986e-01        
5                   5.747437e-01        3.063761e-01        
6                   2.322037e-01        1.053162e-01        
7                   9.402400e-02        3.541683e-02        
